,ID,Job tenure,Age,Car price,Funding amount,Default (y)
2221,2222,1,30,11750,10965,0
4127,4128,9,77,19990,19990,1
6699,6700,2,26,17650,15150,0
4328,4329,2,56,13200,9122,0
5921,5922,11,74,18740,18838,1
1357,1358,15,66,5901,5901,0
2095,2096,0,37,7000,4506,0
1261,1262,2,35,30070,27441,1
6159,6160,2,68,5990,4490,0
1044,1045,0,27,3500,3500,0
5219,5220,3,37,10575,9434,0
3785,3786,2,25,17410,13400,1
73,74,1,37,14700,7118,0
2057,2058,0,28,9500,8416,0
14,15,15,53,3400,3400,0
4885,4886,8,73,9500,9500,0
3217,3218,2,60,10850,10416,0
1634,1635,20,57,4600,4812,0
2623,2624,8,28,4800,3800,0
7311,7312,21,47,6412,6894,0
2094,2095,6,44,12300,6984,0
6621,6622,0,37,6890,2890,0
5231,5232,1,23,14269,15704,1
5111,5112,46,63,7650,9055,0
3790,3791,5,57,2500,2640,0
4284,4285,8,52,24711,28946,1
1414,1415,27,74,10985,8101,0
3518,3519,24,62,7625,4925,0
1507,1508,2,22,7990,7990,0
6942,6943,1,36,15990,18850,0
2177,2178,7,32,19968,19968,1
6715,6716,10,30,11689,5189,0
5168,5169,7,55,13750,14551,1
4584,4585,0,46,12500,11374,0
5375,5376,11,54,9521,9479,0
6577,6578,25,61,9990,7990,0
2412,2413,19,43,3990,4287,0
7155,7156,24,53,6019,3353,0
2517,2518,1,39,11950,12100,0
210,211,12,32,20016,23250,1
1732,1733,4,40,18087,18087,1
1731,1732,5,70,14200,5000,0
6754,6755,5,32,10390,4658,0
7261,7262,0,63,17150,3150,0
6311,6312,2,52,9290,3790,0
1897,1898,8,73,12650,12650,1
6101,6102,2,26,6800,7435,0
4772,4773,0,53,7800,7865,0
2882,2883,0,30,21980,24191,1
3181,3182,1,56,8190,6040,0
1595,1596,1,64,13950,7309,0
6834,6835,11,76,10500,10500,0
6305,6306,0,40,12390,7390,0
748,749,0,57,12990,14674,1
3386,3387,1,31,29990,29990,1
4365,4366,1,43,7669,7955,0
6153,6154,1,25,10100,7700,0
6460,6461,3,50,7900,8469,0
1425,1426,2,38,7500,6200,0
4410,4411,5,70,5425,5425,0
2312,2313,4,68,11100,8556,0
6105,6106,1,46,5382,5726,0
6286,6287,2,20,10880,12638,0
1487,1488,4,36,8890,5890,0
2759,2760,6,54,8990,3990,0
7006,7007,0,19,19900,21650,1
7110,7111,2,26,12990,6990,0
6110,6111,3,38,12990,13284,0
3207,3208,5,52,5825,4825,0
4475,4476,18,55,13000,8000,0
3666,3667,6,28,8600,5370,0
149,150,8,32,14640,8122,0
1226,1227,2,33,6800,5260,0
4630,4631,3,45,11290,2290,0
2868,2869,10,49,9950,9950,0
6315,6316,1,32,9990,9140,0
1515,1516,0,25,12500,9000,0
3968,3969,0,52,8000,5364,0
6907,6908,11,76,18200,14800,0
1322,1323,1,32,4200,3759,0
538,539,5,27,17877,19822,1
401,402,1,29,30968,29107,1
6663,6664,40,69,6550,6550,0
5807,5808,8,47,11490,5301,0
2796,2797,0,55,10400,9400,0
5804,5805,16,77,5350,5350,0
6107,6108,0,50,10990,8329,0
5609,5610,5,50,7685,8342,0
2284,2285,1,46,7105,4414,0
