,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
272,2833,1857.0,126.0,360.0,1.0,1
556,2667,1625.0,84.0,360.0,1.0,1
127,3865,1640.0,128.0,360.0,1.0,1
606,3400,2500.0,173.0,360.0,1.0,1
235,5500,1260.0,170.0,360.0,1.0,1
8,4006,1526.0,168.0,360.0,1.0,1
312,2507,0.0,56.0,360.0,1.0,1
315,3399,1640.0,111.0,180.0,1.0,1
493,17263,0.0,225.0,360.0,1.0,1
428,2920,16.12000084,87.0,360.0,1.0,1
530,1025,5500.0,216.0,360.0,1.0,1
407,2213,0.0,66.0,360.0,1.0,1
512,3283,2035.0,148.0,360.0,1.0,1
520,2192,1742.0,45.0,360.0,1.0,1
134,4895,0.0,102.0,360.0,1.0,1
359,5167,3167.0,200.0,360.0,1.0,1
188,674,5296.0,168.0,360.0,1.0,1
602,5703,0.0,128.0,360.0,1.0,1
55,2708,1167.0,97.0,360.0,1.0,1
271,11146,0.0,136.0,360.0,1.0,1
492,3691,0.0,110.0,360.0,1.0,1
460,2083,4083.0,160.0,360.0,1.0,1
467,16692,0.0,110.0,360.0,1.0,1
180,6400,7250.0,180.0,360.0,0.0,0
126,23803,0.0,370.0,360.0,1.0,1
243,6250,1300.0,108.0,360.0,1.0,1
331,2935,0.0,98.0,360.0,1.0,1
230,2491,2054.0,104.0,360.0,1.0,1
59,3357,2859.0,144.0,360.0,1.0,1
515,3466,3428.0,150.0,360.0,1.0,1
266,4708,1387.0,150.0,360.0,1.0,1
541,2138,0.0,99.0,360.0,0.0,0
419,3246,1417.0,138.0,360.0,1.0,1
470,3450,2079.0,162.0,360.0,1.0,1
114,5050,0.0,118.0,360.0,1.0,1
280,4053,2426.0,158.0,360.0,0.0,0
558,3887,2669.0,162.0,360.0,1.0,1
324,15000,0.0,300.0,360.0,1.0,1
584,2787,1917.0,146.0,360.0,0.0,0
338,1830,0.0,128.0,360.0,0.0,0
218,5000,0.0,72.0,360.0,0.0,0
400,2889,0.0,45.0,180.0,0.0,0
54,11500,0.0,286.0,360.0,0.0,0
440,3660,5064.0,187.0,360.0,1.0,1
229,6400,0.0,200.0,360.0,1.0,1
24,3717,2925.0,151.0,360.0,1.0,0
506,20833,6667.0,480.0,360.0,1.0,1
465,6000,0.0,140.0,360.0,1.0,1
448,3340,1710.0,150.0,360.0,0.0,0
399,1500,1800.0,103.0,360.0,0.0,0
445,3466,1210.0,130.0,360.0,1.0,1
595,3833,0.0,110.0,360.0,1.0,1
525,17500,0.0,400.0,360.0,1.0,1
387,3010,3136.0,128.0,360.0,0.0,0
215,3850,983.0,100.0,360.0,1.0,1
589,2726,0.0,106.0,360.0,0.0,0
594,16120,0.0,260.0,360.0,1.0,1
552,3333,3250.0,158.0,360.0,1.0,1
193,3858,0.0,76.0,360.0,1.0,1
529,6783,0.0,130.0,360.0,1.0,1
66,3200,2254.0,126.0,180.0,0.0,0
197,1907,2365.0,120.0,360.0,1.0,1
339,4160,0.0,71.0,360.0,1.0,1
505,3510,4416.0,243.0,360.0,1.0,1
429,2717,0.0,60.0,180.0,1.0,1
439,7142,0.0,138.0,360.0,1.0,1
523,7948,7166.0,480.0,360.0,1.0,1
15,4950,0.0,125.0,360.0,1.0,1
269,2876,1560.0,90.0,360.0,1.0,1
345,2499,2458.0,160.0,360.0,1.0,1
233,8333,0.0,280.0,360.0,1.0,1
437,2213,1125.0,128.0,360.0,1.0,1
377,4310,0.0,130.0,360.0,1.0,1
490,2699,2785.0,96.0,360.0,1.0,1
532,3588,0.0,110.0,360.0,0.0,0
450,2309,1255.0,125.0,360.0,0.0,0
227,6250,1695.0,210.0,360.0,1.0,1
25,9560,0.0,191.0,360.0,1.0,1
49,4000,2275.0,144.0,360.0,1.0,1
296,6875,0.0,200.0,360.0,1.0,1
203,3500,1083.0,135.0,360.0,1.0,1
303,1625,1803.0,96.0,360.0,1.0,1
548,5000,0.0,103.0,360.0,0.0,0
462,3015,2188.0,153.0,360.0,1.0,1
564,8799,0.0,258.0,360.0,0.0,0
557,10139,0.0,260.0,360.0,1.0,1
92,3273,1820.0,81.0,360.0,1.0,1
261,2060,2209.0,134.0,360.0,1.0,1
138,14999,0.0,242.0,360.0,0.0,0
464,4166,0.0,98.0,360.0,0.0,0
88,8566,0.0,210.0,360.0,1.0,1
528,2679,1302.0,94.0,360.0,1.0,1
291,4400,0.0,127.0,360.0,0.0,0
288,4124,0.0,115.0,360.0,1.0,1
23,3365,1917.0,112.0,360.0,0.0,0
578,1782,2232.0,107.0,360.0,1.0,1
559,4180,2306.0,182.0,360.0,1.0,1
128,10513,3850.0,160.0,180.0,0.0,0
346,3523,3230.0,152.0,360.0,0.0,0
240,5819,5000.0,120.0,360.0,1.0,1
482,2083,3150.0,128.0,360.0,1.0,1
443,37719,0.0,152.0,360.0,1.0,1
537,3617,0.0,107.0,360.0,1.0,1
436,1926,1851.0,50.0,360.0,1.0,1
3,2583,2358.0,120.0,360.0,1.0,1
371,5185,0.0,155.0,360.0,1.0,1
350,9083,0.0,228.0,360.0,1.0,1
456,4301,0.0,118.0,360.0,1.0,1
146,14866,0.0,70.0,360.0,1.0,1
310,2917,0.0,84.0,360.0,1.0,1
19,2600,3500.0,115.0,360.0,1.0,1
260,6083,4250.0,330.0,360.0,1.0,1
190,4885,0.0,48.0,360.0,1.0,1
576,3087,2210.0,136.0,360.0,0.0,0
196,8333,3750.0,187.0,360.0,1.0,1
502,4865,5624.0,208.0,360.0,1.0,1
382,6000,0.0,156.0,360.0,1.0,1
334,9833,1833.0,182.0,180.0,1.0,1
575,3159,461.0,108.0,84.0,1.0,1
99,1759,3541.0,131.0,360.0,1.0,1
451,1958,1456.0,60.0,300.0,1.0,1
74,5266,1774.0,187.0,360.0,1.0,1
7,3036,2504.0,158.0,360.0,0.0,0
273,2620,2223.0,150.0,360.0,1.0,1
279,4100,0.0,124.0,360.0,1.0,1
154,3254,0.0,50.0,360.0,1.0,1
586,2297,1522.0,104.0,360.0,1.0,1
551,2492,2375.0,128.0,360.0,1.0,1
592,9357,0.0,292.0,360.0,1.0,1
555,5468,1032.0,26.0,360.0,1.0,1
50,1928,1644.0,100.0,360.0,1.0,1
38,4166,7210.0,184.0,360.0,1.0,1
208,2479,0.0,59.0,360.0,1.0,1
5,5417,4196.0,267.0,360.0,1.0,1
248,2882,1843.0,123.0,480.0,1.0,1
302,5000,0.0,132.0,360.0,1.0,1
70,3208,3066.0,172.0,360.0,1.0,1
598,9963,0.0,180.0,360.0,1.0,1
11,2500,1840.0,109.0,360.0,1.0,1
522,5677,1424.0,100.0,360.0,1.0,1
150,6277,0.0,118.0,360.0,0.0,0
397,3033,1459.0,95.0,360.0,1.0,1
281,3927,800.0,112.0,360.0,1.0,1
253,2661,7101.0,279.0,180.0,1.0,1
570,3417,1750.0,186.0,360.0,1.0,1
434,3750,0.0,100.0,360.0,1.0,1
403,1963,0.0,53.0,360.0,1.0,1
219,4283,2383.0,127.0,360.0,1.0,1
362,4750,2333.0,130.0,360.0,1.0,1
69,4300,0.0,136.0,360.0,0.0,0
93,4133,0.0,122.0,360.0,1.0,1
21,5955,5625.0,315.0,360.0,1.0,1
577,3229,2739.0,110.0,360.0,1.0,1
458,4354,0.0,136.0,360.0,1.0,1
125,3692,0.0,93.0,360.0,1.0,1
228,4758,0.0,158.0,480.0,1.0,1
415,2995,0.0,60.0,360.0,1.0,1
42,2400,0.0,75.0,360.0,1.0,1
4,6000,0.0,141.0,360.0,1.0,1
64,4166,0.0,116.0,360.0,0.0,0
488,4583,2083.0,160.0,360.0,1.0,1
109,2071,754.0,94.0,480.0,1.0,1
255,3083,0.0,255.0,360.0,1.0,1
567,3400,2500.0,123.0,360.0,0.0,0
205,4408,0.0,120.0,360.0,1.0,1
147,1538,1425.0,30.0,360.0,1.0,1
6,2333,1516.0,95.0,360.0,1.0,1
290,3075,2416.0,139.0,360.0,1.0,1
390,9167,0.0,185.0,360.0,1.0,1
418,1025,2773.0,112.0,360.0,1.0,1
386,2346,1600.0,132.0,360.0,1.0,1
411,6256,0.0,160.0,360.0,1.0,1
282,2301,985.7999878,78.0,180.0,1.0,1
78,3167,4000.0,180.0,300.0,0.0,0
550,6633,0.0,128.0,360.0,0.0,0
320,2400,2167.0,115.0,360.0,1.0,1
572,16666,0.0,275.0,360.0,1.0,1
151,2577,3750.0,152.0,360.0,1.0,1
427,5935,0.0,133.0,360.0,1.0,1
163,4167,1447.0,158.0,360.0,1.0,1
499,6283,4416.0,209.0,360.0,0.0,0
396,3180,0.0,71.0,360.0,0.0,0
325,8666,4983.0,376.0,360.0,0.0,0
265,4095,3447.0,151.0,360.0,1.0,1
531,4281,0.0,100.0,360.0,1.0,1
478,16667,2250.0,86.0,360.0,1.0,1
301,2875,1750.0,105.0,360.0,1.0,1
143,2698,2034.0,122.0,360.0,1.0,1
438,10416,0.0,187.0,360.0,0.0,0
442,4707,1993.0,148.0,360.0,1.0,1
41,1800,1213.0,47.0,360.0,1.0,1
430,8624,0.0,150.0,360.0,1.0,1
547,2526,1783.0,145.0,360.0,1.0,1
364,6822,0.0,141.0,360.0,1.0,1
167,2439,3333.0,129.0,360.0,1.0,1
332,2833,0.0,71.0,360.0,1.0,1
494,3597,2157.0,119.0,360.0,0.0,0
29,3750,2083.0,120.0,360.0,1.0,1
238,3812,0.0,112.0,360.0,1.0,1
162,3089,1280.0,121.0,360.0,0.0,0
149,4860,830.0,125.0,360.0,1.0,1
353,5500,0.0,105.0,360.0,0.0,0
612,7583,0.0,187.0,360.0,1.0,1
221,4009,1717.0,116.0,360.0,1.0,1
85,2366,2531.0,136.0,360.0,1.0,1
388,2333,2417.0,136.0,360.0,1.0,1
187,2383,2138.0,58.0,360.0,1.0,1
89,5695,4167.0,175.0,360.0,1.0,1
475,16525,1014.0,150.0,360.0,1.0,1
217,3727,1775.0,131.0,360.0,1.0,1
72,3500,0.0,81.0,300.0,1.0,1
220,2221,0.0,60.0,360.0,0.0,0
534,18165,0.0,125.0,360.0,1.0,1
395,3276,484.0,135.0,360.0,1.0,1
394,3100,1400.0,113.0,360.0,1.0,1
110,5316,0.0,136.0,360.0,1.0,1
367,5124,0.0,124.0,360.0,0.0,0
412,6096,0.0,218.0,360.0,0.0,0
12,3073,8106.0,200.0,360.0,1.0,1
198,3416,2816.0,113.0,360.0,1.0,1
579,3182,2917.0,161.0,360.0,1.0,1
234,3155,1779.0,140.0,360.0,1.0,1
571,5116,1451.0,165.0,360.0,0.0,0
431,6500,0.0,105.0,360.0,0.0,0
516,2031,1632.0,113.0,480.0,1.0,1
96,2484,2302.0,137.0,360.0,1.0,1
297,4666,0.0,135.0,360.0,1.0,1
63,4945,0.0,128.0,360.0,0.0,0
222,2971,2791.0,144.0,360.0,1.0,1
452,3948,1733.0,149.0,360.0,0.0,0
