,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
284,20667,0.0,128.0,360.0,1.0,0
493,17263,0.0,225.0,360.0,1.0,1
155,39999,0.0,600.0,180.0,0.0,1
271,11146,0.0,136.0,360.0,1.0,1
432,12876,0.0,405.0,360.0,1.0,1
467,16692,0.0,110.0,360.0,1.0,1
126,23803,0.0,370.0,360.0,1.0,1
161,7933,0.0,275.0,360.0,1.0,0
333,63337,0.0,490.0,180.0,1.0,1
324,15000,0.0,300.0,360.0,1.0,1
54,11500,0.0,286.0,360.0,0.0,0
229,6400,0.0,200.0,360.0,1.0,1
506,20833,6667.0,480.0,360.0,1.0,1
525,17500,0.0,400.0,360.0,1.0,1
594,16120,0.0,260.0,360.0,1.0,1
523,7948,7166.0,480.0,360.0,1.0,1
596,6383,1000.0,187.0,360.0,1.0,0
233,8333,0.0,280.0,360.0,1.0,1
514,5815,3666.0,311.0,360.0,1.0,0
227,6250,1695.0,210.0,360.0,1.0,1
25,9560,0.0,191.0,360.0,1.0,1
296,6875,0.0,200.0,360.0,1.0,1
404,7441,0.0,194.0,360.0,1.0,0
83,6000,2250.0,265.0,360.0,1.0,0
564,8799,0.0,258.0,360.0,0.0,0
189,9328,0.0,188.0,180.0,1.0,1
557,10139,0.0,260.0,360.0,1.0,1
138,14999,0.0,242.0,360.0,0.0,0
88,8566,0.0,210.0,360.0,1.0,1
128,10513,3850.0,160.0,180.0,0.0,0
319,10000,0.0,155.0,360.0,1.0,0
443,37719,0.0,152.0,360.0,1.0,1
350,9083,0.0,228.0,360.0,1.0,1
260,6083,4250.0,330.0,360.0,1.0,1
196,8333,3750.0,187.0,360.0,1.0,1
334,9833,1833.0,182.0,180.0,1.0,1
191,12000,0.0,164.0,360.0,1.0,0
592,9357,0.0,292.0,360.0,1.0,1
5,5417,4196.0,267.0,360.0,1.0,1
598,9963,0.0,180.0,360.0,1.0,1
591,6000,0.0,205.0,240.0,1.0,0
115,14583,0.0,185.0,180.0,1.0,1
65,5726,4595.0,258.0,360.0,1.0,0
21,5955,5625.0,315.0,360.0,1.0,1
236,5746,0.0,255.0,360.0,1.0,0
459,8334,0.0,160.0,360.0,1.0,0
255,3083,0.0,255.0,360.0,1.0,1
487,18333,0.0,500.0,360.0,1.0,0
390,9167,0.0,185.0,360.0,1.0,1
572,16666,0.0,275.0,360.0,1.0,1
325,8666,4983.0,376.0,360.0,0.0,0
478,16667,2250.0,86.0,360.0,1.0,1
278,14583,0.0,436.0,360.0,1.0,1
438,10416,0.0,187.0,360.0,0.0,0
533,11250,0.0,196.0,360.0,1.0,0
612,7583,0.0,187.0,360.0,1.0,1
475,16525,1014.0,150.0,360.0,1.0,1
34,12500,3000.0,320.0,360.0,1.0,0
534,18165,0.0,125.0,360.0,1.0,1
412,6096,0.0,218.0,360.0,0.0,0
351,8750,4167.0,308.0,360.0,1.0,0
562,5923,2054.0,211.0,360.0,1.0,1
580,6540,0.0,205.0,360.0,1.0,1
381,5941,4232.0,296.0,360.0,1.0,1
348,6333,4583.0,259.0,360.0,1.0,1
604,12000,0.0,496.0,360.0,1.0,1
106,11417,1126.0,225.0,360.0,1.0,1
309,7667,0.0,185.0,360.0,1.0,1
441,7901,1833.0,180.0,360.0,1.0,1
476,6700,1750.0,230.0,300.0,1.0,1
148,10000,1666.0,225.0,360.0,1.0,0
483,10833,0.0,234.0,360.0,1.0,1
368,6325,0.0,175.0,360.0,1.0,1
212,7787,0.0,240.0,360.0,1.0,1
9,12841,10968.0,349.0,360.0,1.0,0
484,8333,0.0,246.0,360.0,1.0,1
308,20233,0.0,480.0,360.0,1.0,0
289,9508,0.0,187.0,360.0,1.0,1
223,7578,1010.0,175.0,360.0,1.0,1
183,33846,0.0,260.0,360.0,1.0,0
599,5780,0.0,192.0,360.0,1.0,1
511,6065,2004.0,250.0,360.0,1.0,1
372,9323,7873.0,380.0,300.0,1.0,1
561,19484,0.0,600.0,360.0,1.0,1
171,51763,0.0,700.0,300.0,1.0,1
152,9166,0.0,244.0,360.0,1.0,0
258,14683,2100.0,304.0,360.0,1.0,0
119,10408,0.0,259.0,360.0,1.0,1
