,Job tenure,Age,Car price,Default (y)
4362,24,82,6680,0
4727,23,77,13960,0
5736,3,30,15945,0
755,1,26,8900,0
6734,1,48,15990,0
3197,4,62,4990,0
6400,31,53,5900,0
3408,8,32,10000,0
7253,2,40,13980,0
6356,0,25,13900,0
3424,1,64,16790,0
44,1,47,16500,0
2407,5,56,28485,0
6110,3,38,12990,0
6145,0,47,8850,0
1255,6,26,12000,0
1701,1,52,9990,0
654,16,36,11999,0
319,12,37,9990,0
4384,9,28,22910,0
5077,28,52,12800,0
4245,2,67,3300,0
6165,5,71,11054,0
915,2,50,5700,0
2669,17,70,6700,0
6992,26,46,9990,0
3768,23,41,10990,0
2689,28,58,11060,0
1562,5,51,11149,0
6766,4,58,10350,0
6426,2,67,16339,0
2516,8,50,13485,0
6013,23,50,10900,0
5768,3,43,6887,0
3662,11,71,2830,0
6218,11,41,6390,0
921,2,41,14990,0
1942,0,22,9500,0
7268,2,26,9283,0
6105,1,46,5382,0
4228,31,48,28390,0
3752,27,55,17550,0
1041,32,57,5254,0
2883,9,40,11990,0
783,11,61,14590,0
4309,4,46,16000,0
5740,18,54,5971,0
1580,3,41,5600,0
3018,1,28,15200,0
506,19,60,7350,0
3102,11,46,4084,0
4522,5,26,5550,0
88,39,63,15990,0
1928,5,29,9500,0
4231,1,31,7290,0
2664,11,58,22080,0
3852,5,23,22559,0
3583,18,73,3659,0
5532,20,53,11650,0
6695,0,57,10990,0
6380,2,41,13290,0
1730,18,51,25700,0
2283,9,51,11980,0
1033,19,49,9000,0
2840,1,27,17048,0
5751,1,30,12500,0
6223,15,50,27590,0
4125,22,63,16650,0
7153,3,51,23100,0
414,30,54,23521,0
6499,2,32,3500,0
4840,0,36,7990,0
5698,3,32,6550,1
6798,5,24,14490,0
4489,0,63,6800,0
2577,35,58,7207,0
809,15,34,10990,0
1446,7,68,6400,0
6758,1,24,8069,0
2177,7,32,19968,1
180,12,59,27219,0
4032,4,66,12990,0
7348,16,48,11040,0
7226,6,31,5674,0
2418,25,55,4140,0
1223,11,49,15990,0
6529,18,45,7870,0
68,10,51,16900,0
198,13,48,10360,0
5891,6,56,15990,0
4436,10,60,11200,0
436,5,46,17900,0
1083,14,75,4899,0
5684,34,50,31915,0
2820,26,46,16990,0
4128,19,38,5890,0
84,17,53,9800,0
1616,8,67,8590,0
108,4,51,7680,0
3114,9,53,13980,0
4767,5,43,19999,0
3858,0,39,15490,0
3016,3,34,14400,0
6599,0,30,9589,0
6314,8,51,15900,0
5542,32,58,13500,0
2447,26,58,13900,0
3532,15,48,5000,0
644,21,76,13150,0
6960,6,25,10513,0
4374,0,61,21800,0
6340,0,28,6880,0
7316,20,47,6900,0
3405,21,49,29710,0
7389,3,68,14790,0
2439,7,39,12800,0
6579,8,49,6155,0
6050,11,72,10490,0
5368,1,28,14990,0
3661,2,45,7900,0
7323,7,59,9035,0
4998,13,75,9850,0
156,5,40,20849,0
5162,14,59,11290,0
4538,14,52,13100,0
744,4,54,7495,0
1268,1,25,18500,0
1432,2,47,12110,0
5321,25,51,3608,0
3207,5,52,5825,0
4371,25,49,14623,0
1831,9,41,36159,0
5090,4,47,15920,0
6382,24,45,7990,0
3407,22,45,20970,0
6301,14,55,23719,0
4526,20,53,12300,0
1024,4,26,20990,0
3276,28,51,14900,0
533,8,30,22650,0
7213,3,40,9180,0
1357,15,66,5901,0
7274,1,26,9950,0
5333,9,39,9510,0
2333,1,21,4900,0
3346,25,42,11490,0
4684,12,69,22126,0
7212,5,38,8950,0
7321,9,69,11885,0
4733,13,49,5924,0
2132,7,29,17290,0
2146,29,57,4990,0
2798,0,32,9990,0
4480,11,50,9700,0
2226,2,34,15840,0
461,18,55,9331,0
3248,7,26,22700,0
3641,1,55,18100,0
4343,25,51,23600,0
2927,4,30,22450,0
1539,21,50,4750,0
7223,17,62,12500,0
2436,7,28,11990,0
4192,3,36,5990,0
2602,27,52,9990,0
5480,14,30,20850,0
2885,19,46,22702,0
1451,26,56,8500,0
3491,7,23,13844,0
5613,36,60,10379,0
1526,0,63,5698,0
790,1,29,12950,0
7199,8,35,9900,0
1425,2,38,7500,0
1847,16,35,5800,0
3439,9,35,9300,0
4213,2,64,10250,0
6605,8,27,15899,0
4739,1,31,16220,0
6133,7,60,5360,0
838,15,36,8048,0
6104,2,22,14760,0
5339,11,52,19249,0
1222,10,39,16400,0
5291,15,77,9259,0
7014,3,67,12000,0
1277,30,56,11050,0
6076,25,49,14990,0
7060,2,58,19680,0
5433,7,65,5490,0
4707,1,42,9800,0
3615,35,52,12000,0
1718,3,37,19400,0
4507,6,47,12359,0
4504,16,38,5500,0
2277,2,41,15000,0
7301,2,52,16700,0
2207,28,51,12000,0
3907,2,26,10700,0
1199,28,49,28000,0
3098,7,54,18760,0
2266,18,49,14600,0
1773,6,58,2791,0
4828,4,31,13000,0
5839,1,32,12234,0
1954,20,43,17000,0
5834,4,67,16359,0
2851,10,48,5895,0
1659,12,41,21300,0
5842,3,45,12901,0
295,7,58,4643,0
5224,2,45,14697,0
485,17,62,5890,0
3536,4,54,12173,0
3143,6,56,5037,0
2688,5,31,16190,0
1587,9,75,19990,0
2934,29,57,4940,0
287,12,34,17500,0
6460,3,50,7900,0
6600,5,67,12990,0
4296,0,24,15700,0
2123,4,67,6500,0
5823,15,45,16900,0
3063,4,37,5400,0
3164,23,54,7039,0
6662,2,58,11490,0
6004,39,60,20666,0
1366,31,58,30685,0
5002,10,74,11800,0
5038,7,49,5239,0
2540,2,45,6250,0
721,1,41,15860,0
2570,17,54,9900,0
2552,10,49,23448,0
1672,23,57,13500,0
5466,4,33,4600,0
4877,15,58,11950,0
7411,3,33,7500,0
7071,8,59,10109,0
4269,2,43,14260,0
2232,25,56,8375,0
3167,16,47,25000,0
134,19,56,19160,0
5681,34,51,9460,0
4630,3,45,11290,0
1292,18,51,11490,0
3815,7,44,12000,0
2100,19,62,14490,0
1480,26,56,9000,0
1545,8,61,8238,0
1515,0,25,12500,0
41,21,40,6752,0
4041,9,33,24885,0
5465,3,21,10090,0
430,11,73,14990,0
6257,0,44,11750,0
3075,2,43,14737,0
1095,3,33,5878,0
4290,28,58,15069,0
5395,34,51,14990,0
970,23,40,13970,0
6708,7,41,13900,0
5219,3,37,10575,0
1626,1,51,15305,0
2815,30,55,15350,0
3656,26,55,18402,0
5552,4,42,29184,0
4257,3,33,8866,0
1313,2,38,7513,0
1647,6,29,7078,0
1578,1,40,17990,0
354,1,27,3690,0
544,0,41,8490,0
1056,26,50,12850,0
1444,23,45,8990,0
5461,33,54,12430,0
5189,28,47,9380,0
1803,3,67,12705,0
3289,1,60,5500,0
4581,0,23,9650,0
4004,36,58,17165,0
4407,4,33,9890,0
1078,35,52,19025,0
6362,2,33,13220,0
6612,10,41,13980,0
25,4,67,2986,0
5316,3,31,16900,0
1201,18,39,14300,0
1720,14,54,24136,0
2594,0,24,14400,0
978,7,67,12200,0
2492,2,29,6350,0
5784,25,46,18650,0
4113,4,57,5012,0
348,24,52,5990,0
1025,6,71,11990,0
3955,3,24,8900,0
2646,4,54,15180,0
4570,0,36,18990,0
211,24,43,23000,0
2248,4,49,5300,0
4803,7,56,9850,0
2897,8,51,10480,0
4103,9,50,4490,0
4692,19,57,19990,0
4506,14,73,9750,0
185,0,37,10120,0
1535,22,47,11318,0
701,30,50,9990,0
6648,1,37,16810,0
298,24,47,15030,0
3794,0,42,20719,0
7271,13,60,8500,0
1589,11,42,6390,0
3666,6,28,8600,0
1965,6,36,19400,1
5132,17,70,10500,0
1873,1,23,4995,0
3477,15,56,10650,0
2166,9,52,20204,0
736,5,67,14488,0
276,15,53,7000,0
2895,6,43,18567,0
1322,1,32,4200,0
4028,2,65,10895,0
5349,17,76,8173,0
6929,20,41,13990,0
4367,15,42,4529,0
