,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Loan_Status
389,5488,0.0,125.0,360.0,1.0,1,1,1
428,2920,16.12000084,87.0,360.0,1.0,1,1,1
530,1025,5500.0,216.0,360.0,1.0,1,1,1
57,3366,2200.0,135.0,360.0,1.0,1,1,0
188,674,5296.0,168.0,360.0,1.0,1,1,1
460,2083,4083.0,160.0,360.0,1.0,1,1,1
419,3246,1417.0,138.0,360.0,1.0,1,1,1
192,6033,0.0,160.0,360.0,1.0,1,1,0
558,3887,2669.0,162.0,360.0,1.0,1,1,1
18,4887,0.0,133.0,360.0,1.0,1,1,0
87,2500,2118.0,104.0,360.0,1.0,1,1,1
387,3010,3136.0,128.0,360.0,0.0,1,1,0
439,7142,0.0,138.0,360.0,1.0,1,1,1
317,2058,2134.0,88.0,360.0,1.0,1,1,1
345,2499,2458.0,160.0,360.0,1.0,1,1,1
437,2213,1125.0,128.0,360.0,1.0,1,1,1
377,4310,0.0,130.0,360.0,1.0,1,1,1
554,3593,4266.0,132.0,180.0,0.0,1,1,0
104,3816,754.0,160.0,360.0,1.0,1,1,1
358,3000,1666.0,100.0,480.0,0.0,1,1,0
136,4583,0.0,84.0,360.0,1.0,1,1,0
174,4344,736.0,87.0,360.0,1.0,1,1,0
118,5568,2142.0,175.0,360.0,1.0,1,1,0
462,3015,2188.0,153.0,360.0,1.0,1,1,1
166,4583,0.0,112.0,360.0,1.0,1,1,0
56,2132,1591.0,96.0,360.0,1.0,1,1,1
164,9323,0.0,75.0,180.0,1.0,1,1,1
559,4180,2306.0,182.0,360.0,1.0,1,1,1
346,3523,3230.0,152.0,360.0,0.0,1,1,0
98,4188,0.0,115.0,180.0,1.0,1,1,1
482,2083,3150.0,128.0,360.0,1.0,1,1,1
3,2583,2358.0,120.0,360.0,1.0,1,1,1
456,4301,0.0,118.0,360.0,1.0,1,1,1
19,2600,3500.0,115.0,360.0,1.0,1,1,1
576,3087,2210.0,136.0,360.0,0.0,1,1,0
99,1759,3541.0,131.0,360.0,1.0,1,1,1
