,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Loan_Status
272,2833,1857.0,126.0,360.0,1.0,0,1,1
284,20667,0.0,128.0,360.0,1.0,1,1,0
556,2667,1625.0,84.0,360.0,1.0,0,1,1
201,4923,0.0,166.0,360.0,0.0,0,0,1
235,5500,1260.0,170.0,360.0,1.0,1,0,1
16,3596,0.0,100.0,240.0,1.0,0,0,1
312,2507,0.0,56.0,360.0,1.0,0,1,1
493,17263,0.0,225.0,360.0,1.0,0,1,1
428,2920,16.12000084,87.0,360.0,1.0,1,1,1
79,3333,2166.0,130.0,360.0,1.0,1,0,1
407,2213,0.0,66.0,360.0,1.0,0,1,1
134,4895,0.0,102.0,360.0,1.0,0,1,1
57,3366,2200.0,135.0,360.0,1.0,1,1,0
155,39999,0.0,600.0,180.0,0.0,1,0,1
232,3189,2598.0,120.0,360.0,1.0,0,1,1
602,5703,0.0,128.0,360.0,1.0,1,0,1
211,3430,1250.0,128.0,360.0,0.0,1,0,0
492,3691,0.0,110.0,360.0,1.0,0,1,1
180,6400,7250.0,180.0,360.0,0.0,1,0,0
126,23803,0.0,370.0,360.0,1.0,1,0,1
331,2935,0.0,98.0,360.0,1.0,0,1,1
153,2281,0.0,113.0,360.0,1.0,1,0,0
355,3813,0.0,116.0,180.0,1.0,0,1,1
161,7933,0.0,275.0,360.0,1.0,1,1,0
192,6033,0.0,160.0,360.0,1.0,1,1,0
114,5050,0.0,118.0,360.0,1.0,0,1,1
280,4053,2426.0,158.0,360.0,0.0,0,0,0
558,3887,2669.0,162.0,360.0,1.0,1,1,1
324,15000,0.0,300.0,360.0,1.0,1,0,1
584,2787,1917.0,146.0,360.0,0.0,1,0,0
338,1830,0.0,128.0,360.0,0.0,0,0,0
218,5000,0.0,72.0,360.0,0.0,1,0,0
400,2889,0.0,45.0,180.0,0.0,1,0,0
440,3660,5064.0,187.0,360.0,1.0,0,1,1
229,6400,0.0,200.0,360.0,1.0,0,1,1
539,6417,0.0,157.0,180.0,1.0,1,0,1
365,6216,0.0,133.0,360.0,1.0,0,1,0
448,3340,1710.0,150.0,360.0,0.0,1,0,0
595,3833,0.0,110.0,360.0,1.0,0,1,1
525,17500,0.0,400.0,360.0,1.0,1,0,1
387,3010,3136.0,128.0,360.0,0.0,1,1,0
51,3086,0.0,120.0,360.0,1.0,0,1,1
589,2726,0.0,106.0,360.0,0.0,1,0,0
186,2178,0.0,66.0,300.0,0.0,1,0,0
193,3858,0.0,76.0,360.0,1.0,0,1,1
529,6783,0.0,130.0,360.0,1.0,0,1,1
30,4166,3369.0,201.0,360.0,1.0,1,0,0
66,3200,2254.0,126.0,180.0,0.0,0,1,0
339,4160,0.0,71.0,360.0,1.0,0,1,1
505,3510,4416.0,243.0,360.0,1.0,1,0,1
429,2717,0.0,60.0,180.0,1.0,0,1,1
523,7948,7166.0,480.0,360.0,1.0,1,0,1
583,1880,0.0,61.0,360.0,1.0,1,0,0
596,6383,1000.0,187.0,360.0,1.0,1,0,0
15,4950,0.0,125.0,360.0,1.0,0,1,1
317,2058,2134.0,88.0,360.0,1.0,1,1,1
437,2213,1125.0,128.0,360.0,1.0,1,1,1
490,2699,2785.0,96.0,360.0,1.0,0,1,1
554,3593,4266.0,132.0,180.0,0.0,1,1,0
108,3800,3600.0,216.0,360.0,0.0,1,0,0
104,3816,754.0,160.0,360.0,1.0,1,1,1
514,5815,3666.0,311.0,360.0,1.0,0,1,0
347,3083,2168.0,126.0,360.0,1.0,1,0,1
