,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Loan_Status
272,2833,1857.0,126.0,360.0,1.0,0,1,1
556,2667,1625.0,84.0,360.0,1.0,0,1,1
127,3865,1640.0,128.0,360.0,1.0,0,1,1
201,4923,0.0,166.0,360.0,0.0,0,0,1
40,3600,0.0,80.0,360.0,1.0,0,1,0
16,3596,0.0,100.0,240.0,1.0,0,0,1
312,2507,0.0,56.0,360.0,1.0,0,1,1
407,2213,0.0,66.0,360.0,1.0,0,1,1
134,4895,0.0,102.0,360.0,1.0,0,1,1
232,3189,2598.0,120.0,360.0,1.0,0,1,1
492,3691,0.0,110.0,360.0,1.0,0,1,1
331,2935,0.0,98.0,360.0,1.0,0,1,1
355,3813,0.0,116.0,180.0,1.0,0,1,1
541,2138,0.0,99.0,360.0,0.0,0,1,0
114,5050,0.0,118.0,360.0,1.0,0,1,1
338,1830,0.0,128.0,360.0,0.0,0,0,0
440,3660,5064.0,187.0,360.0,1.0,0,1,1
366,2500,0.0,96.0,480.0,1.0,0,1,0
229,6400,0.0,200.0,360.0,1.0,0,1,1
365,6216,0.0,133.0,360.0,1.0,0,1,0
465,6000,0.0,140.0,360.0,1.0,0,1,1
399,1500,1800.0,103.0,360.0,0.0,0,1,0
595,3833,0.0,110.0,360.0,1.0,0,1,1
168,2237,0.0,63.0,480.0,0.0,0,1,0
51,3086,0.0,120.0,360.0,1.0,0,1,1
193,3858,0.0,76.0,360.0,1.0,0,1,1
529,6783,0.0,130.0,360.0,1.0,0,1,1
66,3200,2254.0,126.0,180.0,0.0,0,1,0
197,1907,2365.0,120.0,360.0,1.0,0,1,1
339,4160,0.0,71.0,360.0,1.0,0,1,1
429,2717,0.0,60.0,180.0,1.0,0,1,1
15,4950,0.0,125.0,360.0,1.0,0,1,1
269,2876,1560.0,90.0,360.0,1.0,0,0,1
568,2378,0.0,9.0,360.0,1.0,0,1,0
233,8333,0.0,280.0,360.0,1.0,0,1,1
490,2699,2785.0,96.0,360.0,1.0,0,1,1
532,3588,0.0,110.0,360.0,0.0,0,0,0
251,3427,0.0,138.0,360.0,1.0,0,0,0
514,5815,3666.0,311.0,360.0,1.0,0,1,0
49,4000,2275.0,144.0,360.0,1.0,0,1,1
404,7441,0.0,194.0,360.0,1.0,0,1,0
548,5000,0.0,103.0,360.0,0.0,0,1,0
509,13262,0.0,40.0,360.0,1.0,0,0,1
261,2060,2209.0,134.0,360.0,1.0,0,1,1
464,4166,0.0,98.0,360.0,0.0,0,1,0
88,8566,0.0,210.0,360.0,1.0,0,1,1
401,2755,0.0,65.0,300.0,1.0,0,1,0
528,2679,1302.0,94.0,360.0,1.0,0,0,1
288,4124,0.0,115.0,360.0,1.0,0,1,1
410,3867,0.0,62.0,360.0,1.0,0,0,0
262,3481,0.0,155.0,36.0,1.0,0,0,0
537,3617,0.0,107.0,360.0,1.0,0,0,1
436,1926,1851.0,50.0,360.0,1.0,0,1,1
310,2917,0.0,84.0,360.0,1.0,0,1,1
501,3159,0.0,100.0,360.0,1.0,0,1,1
298,5000,2541.0,151.0,480.0,1.0,0,1,0
378,3069,0.0,71.0,480.0,1.0,0,1,0
190,4885,0.0,48.0,360.0,1.0,0,1,1
196,8333,3750.0,187.0,360.0,1.0,0,1,1
382,6000,0.0,156.0,360.0,1.0,0,1,1
179,2333,1451.0,102.0,480.0,0.0,0,1,0
154,3254,0.0,50.0,360.0,1.0,0,1,1
191,12000,0.0,164.0,360.0,1.0,0,1,0
38,4166,7210.0,184.0,360.0,1.0,0,1,1
208,2479,0.0,59.0,360.0,1.0,0,1,1
75,3750,0.0,113.0,480.0,1.0,0,1,0
302,5000,0.0,132.0,360.0,1.0,0,1,1
286,2600,1717.0,99.0,300.0,1.0,0,1,0
150,6277,0.0,118.0,360.0,0.0,0,1,0
434,3750,0.0,100.0,360.0,1.0,0,1,1
403,1963,0.0,53.0,360.0,1.0,0,1,1
69,4300,0.0,136.0,360.0,0.0,0,1,0
93,4133,0.0,122.0,360.0,1.0,0,1,1
577,3229,2739.0,110.0,360.0,1.0,0,1,1
458,4354,0.0,136.0,360.0,1.0,0,0,1
125,3692,0.0,93.0,360.0,1.0,0,1,1
415,2995,0.0,60.0,360.0,1.0,0,1,1
4,6000,0.0,141.0,360.0,1.0,0,1,1
64,4166,0.0,116.0,360.0,0.0,0,1,0
205,4408,0.0,120.0,360.0,1.0,0,1,1
524,4680,2087.0,128.0,360.0,1.0,0,1,0
390,9167,0.0,185.0,360.0,1.0,0,0,1
386,2346,1600.0,132.0,360.0,1.0,0,1,1
122,2137,8980.0,137.0,360.0,0.0,0,1,1
499,6283,4416.0,209.0,360.0,0.0,0,1,0
396,3180,0.0,71.0,360.0,0.0,0,1,0
265,4095,3447.0,151.0,360.0,1.0,0,1,1
438,10416,0.0,187.0,360.0,0.0,0,1,0
199,11000,0.0,83.0,360.0,1.0,0,1,0
41,1800,1213.0,47.0,360.0,1.0,0,1,1
430,8624,0.0,150.0,360.0,1.0,0,0,1
547,2526,1783.0,145.0,360.0,1.0,0,1,1
364,6822,0.0,141.0,360.0,1.0,0,1,1
245,6050,4333.0,120.0,180.0,1.0,0,1,0
332,2833,0.0,71.0,360.0,1.0,0,1,1
263,7200,0.0,120.0,360.0,1.0,0,1,1
238,3812,0.0,112.0,360.0,1.0,0,0,1
533,11250,0.0,196.0,360.0,1.0,0,0,0
94,3620,0.0,25.0,120.0,1.0,0,1,1
85,2366,2531.0,136.0,360.0,1.0,0,1,1
72,3500,0.0,81.0,300.0,1.0,0,1,1
305,2000,0.0,128.0,360.0,1.0,0,1,0
534,18165,0.0,125.0,360.0,1.0,0,1,1
110,5316,0.0,136.0,360.0,1.0,0,1,1
367,5124,0.0,124.0,360.0,0.0,0,1,0
579,3182,2917.0,161.0,360.0,1.0,0,1,1
431,6500,0.0,105.0,360.0,0.0,0,1,0
222,2971,2791.0,144.0,360.0,1.0,0,1,1
95,6782,0.0,128.0,360.0,1.0,0,1,0
13,1853,2840.0,114.0,360.0,1.0,0,1,0
17,3510,0.0,76.0,360.0,0.0,0,1,0
521,2500,0.0,55.0,360.0,1.0,0,1,1
207,3975,2531.0,55.0,360.0,1.0,0,1,1
307,2400,1863.0,104.0,360.0,0.0,0,1,0
341,2378,0.0,46.0,360.0,1.0,0,1,0
39,3748,1668.0,110.0,360.0,1.0,0,1,1
181,1916,5063.0,67.0,360.0,1.0,0,1,0
158,2980,2083.0,120.0,360.0,1.0,0,1,1
426,4606,0.0,81.0,360.0,1.0,0,0,0
381,5941,4232.0,296.0,360.0,1.0,0,1,1
32,4692,0.0,106.0,360.0,1.0,0,0,0
603,3676,4301.0,172.0,360.0,1.0,0,1,1
489,2435,0.0,75.0,360.0,1.0,0,1,0
546,3358,0.0,80.0,36.0,1.0,0,1,0
542,3652,0.0,95.0,360.0,1.0,0,0,1
252,2583,2167.0,104.0,360.0,1.0,0,1,1
148,10000,1666.0,225.0,360.0,1.0,0,1,0
588,4750,0.0,94.0,360.0,1.0,0,1,1
52,4230,0.0,112.0,360.0,1.0,0,1,0
242,2965,5701.0,155.0,60.0,1.0,0,1,1
76,3750,4750.0,176.0,360.0,1.0,0,1,0
311,2927,2405.0,111.0,360.0,1.0,0,1,1
285,3158,3053.0,89.0,360.0,1.0,0,1,1
563,5800,0.0,132.0,360.0,1.0,0,1,1
289,9508,0.0,187.0,360.0,1.0,0,1,1
421,2720,0.0,80.0,360.0,0.0,0,1,0
141,5417,0.0,168.0,360.0,1.0,0,1,1
113,7451,0.0,128.0,360.0,1.0,0,0,1
0,5849,0.0,128.0,360.0,1.0,0,1,1
566,3333,0.0,70.0,360.0,1.0,0,1,1
500,645,3683.0,113.0,480.0,1.0,0,1,1
383,7167,0.0,128.0,360.0,1.0,0,1,1
405,4547,0.0,115.0,360.0,1.0,0,1,1
519,3400,0.0,95.0,360.0,1.0,0,1,0
507,3583,0.0,96.0,360.0,1.0,0,1,0
152,9166,0.0,244.0,360.0,1.0,0,1,0
398,3902,1666.0,109.0,360.0,1.0,0,1,1
480,4350,0.0,154.0,360.0,1.0,0,1,1
119,10408,0.0,259.0,360.0,1.0,0,1,1
256,6045,0.0,115.0,360.0,0.0,0,1,0
