,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Dependents_1,Loan_Status
530,1025,5500.0,216.0,360.0,1.0,1,1,0,1
57,3366,2200.0,135.0,360.0,1.0,1,1,0,0
188,674,5296.0,168.0,360.0,1.0,1,1,0,1
460,2083,4083.0,160.0,360.0,1.0,1,1,0,1
558,3887,2669.0,162.0,360.0,1.0,1,1,0,1
87,2500,2118.0,104.0,360.0,1.0,1,1,0,1
387,3010,3136.0,128.0,360.0,0.0,1,1,0,0
317,2058,2134.0,88.0,360.0,1.0,1,1,0,1
345,2499,2458.0,160.0,360.0,1.0,1,1,0,1
554,3593,4266.0,132.0,180.0,0.0,1,1,0,0
118,5568,2142.0,175.0,360.0,1.0,1,1,0,0
462,3015,2188.0,153.0,360.0,1.0,1,1,0,1
559,4180,2306.0,182.0,360.0,1.0,1,1,0,1
346,3523,3230.0,152.0,360.0,0.0,1,1,0,0
482,2083,3150.0,128.0,360.0,1.0,1,1,0,1
3,2583,2358.0,120.0,360.0,1.0,1,1,0,1
19,2600,3500.0,115.0,360.0,1.0,1,1,0,1
576,3087,2210.0,136.0,360.0,0.0,1,1,0,0
99,1759,3541.0,131.0,360.0,1.0,1,1,0,1
402,2500,20000.0,103.0,360.0,1.0,0,1,0,1
273,2620,2223.0,150.0,360.0,1.0,1,1,0,1
70,3208,3066.0,172.0,360.0,1.0,1,1,0,1
65,5726,4595.0,258.0,360.0,1.0,1,1,0,0
362,4750,2333.0,130.0,360.0,1.0,1,1,0,1
457,3708,2569.0,173.0,360.0,1.0,1,1,0,0
314,2473,1843.0,159.0,360.0,1.0,1,1,0,0
290,3075,2416.0,139.0,360.0,1.0,1,1,0,1
418,1025,2773.0,112.0,360.0,1.0,1,1,0,1
122,2137,8980.0,137.0,360.0,0.0,0,1,0,1
320,2400,2167.0,115.0,360.0,1.0,1,1,0,1
151,2577,3750.0,152.0,360.0,1.0,1,1,0,1
513,2130,6666.0,70.0,180.0,1.0,1,1,0,0
143,2698,2034.0,122.0,360.0,1.0,1,1,0,1
553,2454,2333.0,181.0,360.0,0.0,1,1,0,0
167,2439,3333.0,129.0,360.0,1.0,1,1,0,1
494,3597,2157.0,119.0,360.0,0.0,1,1,0,0
250,1668,3890.0,201.0,360.0,0.0,1,1,0,0
388,2333,2417.0,136.0,360.0,1.0,1,1,0,1
89,5695,4167.0,175.0,360.0,1.0,1,1,0,1
217,3727,1775.0,131.0,360.0,1.0,1,1,0,1
453,2483,2466.0,90.0,180.0,0.0,1,1,0,1
198,3416,2816.0,113.0,360.0,1.0,1,1,0,1
216,150,1800.0,135.0,360.0,1.0,1,1,0,0
96,2484,2302.0,137.0,360.0,1.0,1,1,0,1
469,4333,2451.0,110.0,360.0,1.0,1,1,0,0
452,3948,1733.0,149.0,360.0,0.0,1,1,0,0
327,5818,2160.0,184.0,360.0,1.0,1,1,0,1
90,2958,2900.0,131.0,360.0,1.0,1,1,0,1
380,3333,2500.0,128.0,360.0,1.0,1,1,0,1
417,1600,20000.0,239.0,360.0,1.0,1,0,0,0
600,416,41667.0,350.0,180.0,1.0,0,0,0,0
562,5923,2054.0,211.0,360.0,1.0,1,1,0,1
145,2330,4486.0,100.0,360.0,1.0,1,1,0,1
517,3074,1800.0,123.0,360.0,0.0,1,1,0,0
348,6333,4583.0,259.0,360.0,1.0,1,1,0,1
569,3166,2064.0,104.0,360.0,0.0,1,1,0,0
549,2785,2016.0,110.0,360.0,1.0,1,1,0,1
60,2500,3796.0,120.0,360.0,1.0,1,1,0,1
26,2799,2253.0,122.0,360.0,1.0,1,1,0,1
363,3013,3033.0,95.0,300.0,1.0,1,1,0,1
441,7901,1833.0,180.0,360.0,1.0,1,1,0,1
22,2600,1911.0,116.0,360.0,0.0,1,1,0,0
62,2609,3449.0,165.0,180.0,0.0,1,1,0,0
173,5708,5625.0,187.0,360.0,1.0,1,1,0,1
35,2275,2067.0,128.0,360.0,1.0,1,1,0,1
120,5667,2667.0,180.0,360.0,1.0,1,1,0,1
300,1800,2934.0,93.0,360.0,0.0,1,1,0,0
444,7333,8333.0,175.0,300.0,1.0,1,1,0,1
590,3000,3416.0,56.0,180.0,1.0,1,1,0,1
508,2479,3013.0,188.0,360.0,1.0,1,1,0,1
497,4625,2857.0,111.0,12.0,1.0,1,1,0,1
414,2149,3237.0,178.0,360.0,0.0,1,1,0,0
593,3859,3300.0,142.0,180.0,1.0,1,1,0,1
165,3707,3166.0,182.0,360.0,1.0,1,1,0,1
335,5503,4490.0,70.0,360.0,1.0,1,1,0,1
545,2768,1950.0,155.0,360.0,1.0,1,1,0,1
413,2253,2033.0,110.0,360.0,1.0,1,1,0,1
581,1836,33837.0,90.0,360.0,1.0,0,1,0,0
605,2400,3800.0,128.0,180.0,1.0,1,1,0,0
