,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Dependents_1,Loan_Status
284,20667,0.0,128.0,360.0,1.0,1,1,0,0
493,17263,0.0,225.0,360.0,1.0,0,1,0,1
155,39999,0.0,600.0,180.0,0.0,1,0,0,1
432,12876,0.0,405.0,360.0,1.0,0,1,0,1
126,23803,0.0,370.0,360.0,1.0,1,0,0,1
161,7933,0.0,275.0,360.0,1.0,1,1,0,0
333,63337,0.0,490.0,180.0,1.0,1,1,0,1
324,15000,0.0,300.0,360.0,1.0,1,0,0,1
54,11500,0.0,286.0,360.0,0.0,1,0,1,0
506,20833,6667.0,480.0,360.0,1.0,1,1,0,1
525,17500,0.0,400.0,360.0,1.0,1,0,0,1
594,16120,0.0,260.0,360.0,1.0,1,1,0,1
523,7948,7166.0,480.0,360.0,1.0,1,0,0,1
83,6000,2250.0,265.0,360.0,1.0,1,1,0,0
138,14999,0.0,242.0,360.0,0.0,0,1,0,0
443,37719,0.0,152.0,360.0,1.0,0,0,1,1
350,9083,0.0,228.0,360.0,1.0,1,1,0,1
487,18333,0.0,500.0,360.0,1.0,1,0,1,0
572,16666,0.0,275.0,360.0,1.0,1,0,0,1
325,8666,4983.0,376.0,360.0,0.0,1,0,1,0
278,14583,0.0,436.0,360.0,1.0,1,1,0,1
34,12500,3000.0,320.0,360.0,1.0,0,0,0,0
351,8750,4167.0,308.0,360.0,1.0,0,1,0,0
604,12000,0.0,496.0,360.0,1.0,1,0,1,1
483,10833,0.0,234.0,360.0,1.0,1,1,0,1
9,12841,10968.0,349.0,360.0,1.0,1,0,1,0
308,20233,0.0,480.0,360.0,1.0,0,1,0,0
183,33846,0.0,260.0,360.0,1.0,1,0,1,0
372,9323,7873.0,380.0,300.0,1.0,1,0,0,1
561,19484,0.0,600.0,360.0,1.0,1,0,1,1
171,51763,0.0,700.0,300.0,1.0,1,0,0,1
258,14683,2100.0,304.0,360.0,1.0,1,1,0,0
