,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Dependents_1,Loan_Status
606,3400,2500.0,173.0,360.0,1.0,1,0,1,1
235,5500,1260.0,170.0,360.0,1.0,1,0,1,1
8,4006,1526.0,168.0,360.0,1.0,1,0,0,1
449,2769,1542.0,190.0,360.0,1.0,0,0,1,0
315,3399,1640.0,111.0,180.0,1.0,1,0,1,1
79,3333,2166.0,130.0,360.0,1.0,1,0,0,1
512,3283,2035.0,148.0,360.0,1.0,1,0,0,1
520,2192,1742.0,45.0,360.0,1.0,1,0,0,1
359,5167,3167.0,200.0,360.0,1.0,1,0,0,1
602,5703,0.0,128.0,360.0,1.0,1,0,0,1
55,2708,1167.0,97.0,360.0,1.0,1,0,0,1
211,3430,1250.0,128.0,360.0,0.0,1,0,0,0
180,6400,7250.0,180.0,360.0,0.0,1,0,1,0
243,6250,1300.0,108.0,360.0,1.0,1,0,0,1
230,2491,2054.0,104.0,360.0,1.0,1,0,1,1
59,3357,2859.0,144.0,360.0,1.0,1,0,0,1
515,3466,3428.0,150.0,360.0,1.0,1,0,0,1
153,2281,0.0,113.0,360.0,1.0,1,0,0,0
266,4708,1387.0,150.0,360.0,1.0,1,0,0,1
470,3450,2079.0,162.0,360.0,1.0,1,0,1,1
280,4053,2426.0,158.0,360.0,0.0,0,0,1,0
584,2787,1917.0,146.0,360.0,0.0,1,0,1,0
218,5000,0.0,72.0,360.0,0.0,1,0,0,0
400,2889,0.0,45.0,180.0,0.0,1,0,0,0
585,4283,3000.0,172.0,84.0,1.0,1,0,1,0
539,6417,0.0,157.0,180.0,1.0,1,0,0,1
24,3717,2925.0,151.0,360.0,1.0,1,0,1,0
448,3340,1710.0,150.0,360.0,0.0,1,0,0,0
445,3466,1210.0,130.0,360.0,1.0,1,0,1,1
215,3850,983.0,100.0,360.0,1.0,1,0,0,1
589,2726,0.0,106.0,360.0,0.0,1,0,0,0
186,2178,0.0,66.0,300.0,0.0,1,0,1,0
