,Benchmark,Job tenure,Age,Car price,Funding amount
4362,0.35882288626484954,-0.07234814338798601,-0.021401949583932073,0.19444221311841206,0.180295420128941
3464,1.0328462348604528,-0.10464091642047696,-0.0215993289658844,0.7083218977874169,0.6732077059588303
755,0.35882288626484954,0.01764625598367266,0.006111230115166177,0.1640227312620679,0.09320732291452825
3197,0.35882288626484954,0.01299831088619347,-0.03155550572260753,0.13364146086402903,0.16590327424782
3554,1.0328462348604528,-0.09771581013498037,-0.02121833004584624,0.6035949823427732,0.7706285161979394
6400,0.35882288626484954,-0.08020445640435206,0.004058782052998496,0.1851372116754879,0.17199600295130063
3408,0.35882288626484954,0.008671211877794705,0.006544572225048567,0.16627069926782767,0.09950105690476405
5048,1.0328462348604528,-0.10639957322170751,-0.021902789306295432,0.586510090800094,0.7970816300877948
538,1.0328462348604528,-0.09366781282447201,-0.021318925661141824,0.6982786993154291,0.6719973975300706
6409,1.0328462348604528,-0.10464091642047696,-0.0215993289658844,0.7083218977874169,0.6732077059588303
443,1.0328462348604528,0.14393224355369907,0.08046161672959007,0.4300174340940668,0.60087806398253
4655,1.0328462348604528,-0.10044667428292622,-0.02256521422217452,0.6808197817465631,0.6974814651184233
6145,0.35882288626484954,0.018055425394870348,0.005192574593229281,0.15475501155826896,0.10298452872906641
1255,0.35882288626484954,0.015358867884673208,0.00462730533167916,0.07646503288974572,0.18453633416933687
1701,0.35882288626484954,0.01730672253907051,0.005177792058264394,0.16307274420375892,0.09543028147434117
5077,0.35882288626484954,-0.1035683923742202,0.004343740981723983,0.08514749436962071,0.2950646972983105
2652,1.0328462348604528,-0.10103314114178444,-0.02441033490716189,0.6196609946358921,0.7610718397729399
4245,0.35882288626484954,0.013466424493414621,-0.03211045510125761,0.13342790436834145,0.1662036665149365
6165,0.35882288626484954,0.009519022798201828,-0.032257908563234336,0.16014022396563174,0.14358620207483574
915,0.35882288626484954,0.018809613593833235,0.005203173391883373,0.11168502676103687,0.1452897265286815
2669,0.35882288626484954,-0.06433824076305407,-0.022072834944350736,0.1818740832968884,0.18552453268595134
6992,0.35882288626484954,-0.07347989054602046,0.00390714485471094,0.19080543060129784,0.15975485536544665
6766,0.35882288626484954,0.016322986674520933,0.005225486652207687,0.16119424660020304,0.09824482034850333
5288,1.0328462348604528,-0.09291678567072163,0.0989000864266951,0.634695390526682,0.6146106670772302
6013,0.35882288626484954,-0.07916038176500875,0.003950376796589371,0.1837690369299335,0.17242850831392084
5768,0.35882288626484954,0.01593250461884491,0.005402133296442083,0.12903990875364085,0.13061299360650716
3662,0.35882288626484954,-0.0026358468477313676,-0.031807087732764514,0.15178809171047514,0.16364238314545576
6218,0.35882288626484954,0.0026044223394411934,0.005489155011707066,0.13010536693412833,0.14278859599015842
1942,0.35882288626484954,0.017696553791320485,0.00633389785881954,0.14628489793914737,0.11067219068614761
336,1.0328462348604528,-0.09402222177595693,0.10206020192013054,0.5170983724707918,0.7301530057449203
7268,0.35882288626484954,0.0183502393469058,0.006244551845604139,0.1552848585190541,0.10110789056387094
6105,0.35882288626484954,0.01902428575253703,0.005754961725320811,0.11244916295522775,0.14375912984234937
5231,1.0328462348604528,-0.10267065553383734,-0.02265046947099708,0.6801406218854406,0.7004698614792797
1041,0.35882288626484954,-0.08021784436054666,0.004038142287198463,0.18518704462354563,0.17198019772523757
3837,1.0328462348604528,-0.0857533923593445,-0.023418324541908654,0.5747352903550185,0.7897257849061206
5244,1.0328462348604528,-0.10431337635329915,-0.021886705164478444,0.702324744215659,0.6791646956620043
5740,0.35882288626484954,-0.07307323137660926,0.004207258206073407,0.173296773056292,0.17655674038967883
1580,0.35882288626484954,0.018503178152045545,0.005362899147038464,0.111305701335523,0.145815761640828
584,1.0328462348604528,-0.05860531338230339,-0.024565505038334073,0.7051703357104391,0.6332898410700842
2509,1.0328462348604528,-0.10267065553383734,-0.02265046947099708,0.6801406218854406,0.7004698614792797
506,0.35882288626484954,-0.06053550337227744,-0.018625250280403308,0.19875127557471522,0.1613970183534005
3102,0.35882288626484954,0.0026258058805853552,0.005425004388274581,0.13012675047527247,0.1428099795313026
4522,0.35882288626484954,0.014622716237805821,0.005939510982586724,0.11327949515504743,0.14714581789999498
1168,1.0328462348604528,-0.10464091642047696,-0.0215993289658844,0.7083218977874169,0.6732077059588303
1928,0.35882288626484954,0.014622716237805821,0.005939510982586724,0.11327949515504743,0.14714581789999498
4231,0.35882288626484954,0.01766773249673486,0.00662508590605226,0.14613409748812198,0.1105606243845259
3583,0.35882288626484954,-0.06714840995706936,-0.021640329581730493,0.1828805972813524,0.1868956825328824
6695,0.35882288626484954,0.019318077013474242,0.0055136066261457835,0.12251895139576888,0.1336369052400461
1033,0.35882288626484954,-0.06735313412054522,0.0039012876238758033,0.20877383428090324,0.13566555249120116
5751,0.35882288626484954,0.024652526753599163,0.004990639587293927,0.08756941283399236,0.16377496110054957
6560,1.0328462348604528,-0.10464091642047696,-0.0215993289658844,0.7083218977874169,0.6732077059588303
118,1.0328462348604528,-0.10315885107535033,-0.02147893033205093,0.7055531010969197,0.6743740386703673
6499,0.35882288626484954,0.01915202916789394,0.0066210881135775005,0.11207132508040211,0.14314309791356142
4840,0.35882288626484954,0.01766894113166909,0.006626294540986488,0.1461304715833193,0.11056183301946011
3892,1.0328462348604528,0.3267210775519675,-0.026651608934824385,0.9844938645971859,-0.029273974854443233
4489,0.35882288626484954,0.013510586154473219,-0.03210906052248734,0.13340512624842701,0.16618088839502207
2577,0.35882288626484954,-0.07113141989688304,0.0037526255269648605,0.19666080199807812,0.15170553264727504
1446,0.35882288626484954,0.007640711138482055,-0.03190284880832318,0.13529952204996393,0.16995015589531218
6758,0.35882288626484954,0.019255971772238173,0.006257010082618576,0.11231156451656094,0.1431629939040173
2177,1.0328462348604528,-0.0865127869857165,-0.02435008910428612,0.6959606304834836,0.670191603966405
1181,1.0328462348604528,-0.10213950696619972,-0.02152969299928888,0.822011027213252,0.5569475311121225
7226,0.35882288626484954,0.010088289852226724,0.0061111371432481425,0.12106329007535939,0.1437248232046007
2418,0.35882288626484954,-0.07916038176500875,0.003950376796589371,0.1837690369299335,0.17242850831392084
6529,0.35882288626484954,-0.0687066193030528,0.0038542438333586462,0.20472230403751016,0.14111761170761897
198,0.35882288626484954,-0.03472045575577992,0.00228125195241032,0.19003413556941962,0.12339260850938495
2526,1.0328462348604528,-0.10730242351758133,-0.025511866191840333,0.5842288388476836,0.8038748092216239
4436,0.35882288626484954,-9.929400844334735e-05,-0.028427465540888354,0.1147786673330894,0.19473563249167727
3593,1.0328462348604528,-0.10478334939888072,-0.02468395126188912,0.7067726137455632,0.6779840452750925
1083,0.35882288626484954,-0.06441894038789377,-0.02206260803336875,0.18178668969395137,0.18568239900274613
4128,0.35882288626484954,-0.0722227242705796,0.004787774862178444,0.17478990205966274,0.17363258762417333
84,0.35882288626484954,-0.06449108659627582,0.0036365036013602478,0.2076207965536427,0.13422132671670786
5170,1.0328462348604528,-0.10268171919208144,-0.02304866819586864,0.5678336129928627,0.8131861327549733
5351,0.35882288626484954,0.017696553791320485,0.00633389785881954,0.14628489793914737,0.11067219068614761
1616,0.35882288626484954,0.004516761721155639,-0.03183618794310418,0.17627717383219849,0.13202979266518505
108,0.35882288626484954,0.017200548608693855,0.005232087658386971,0.1469151545713921,0.11163974943696207
218,1.0328462348604528,-0.10464091642047696,-0.0215993289658844,0.7083218977874169,0.6732077059588303
2799,1.0328462348604528,-0.10639957322170751,-0.021902789306295432,0.586510090800094,0.7970816300877948
2697,1.0328462348604528,-0.10478334939888072,-0.02468395126188912,0.7067726137455632,0.6779840452750925
6599,0.35882288626484954,0.0178280160833981,0.006316791025904207,0.15202479821374923,0.10481793495238347
3411,1.0328462348604528,-0.09331386873257695,-0.021546056056860025,0.6922133043558457,0.6779359787934771
3532,0.35882288626484954,-0.07067539263900426,0.0036513791082431325,0.1716849189136121,0.176326634892584
644,0.35882288626484954,-0.07574013084495855,-0.022891359710582156,0.09180902526753605,0.28781000556343966
6960,0.35882288626484954,0.009694832695174072,0.0056382819682080365,0.16693451876247703,0.09871990684957588
6340,0.35882288626484954,0.016694874346593398,0.0051382789931066946,0.1323521263049539,0.12680226063078098
7316,0.35882288626484954,-0.07182452554570806,0.004110474439416559,0.17454547888719316,0.17415611249453328
2439,0.35882288626484954,0.01454666520886698,0.006145536752914853,0.04830885940563429,0.21198647890801883
6579,0.35882288626484954,0.007473454657967458,0.005598954846886448,0.13488998075109415,0.13302515001948692
6050,0.35882288626484954,0.0015706675829978841,-0.0320159956325512,0.18994460361236815,0.12148826471262011
3661,0.35882288626484954,0.017394209113925568,0.0049601447981840185,0.12008652710466117,0.13854665925866422
1370,1.0328462348604528,-0.09419840356060126,0.09898013524810866,0.6368338376130166,0.6136737890593619
5782,1.0328462348604528,-0.10135919365827392,-0.021319297548813843,0.7019501603579641,0.6760176892090094
7323,0.35882288626484954,0.00991452533745087,0.005452431104089883,0.16799486348747353,0.09762572034642074
