,Job tenure,Age,Car price,Funding amount,Default (y)
4362,24,82,6680,6300,0
4727,23,77,13960,12981,0
2644,24,61,9243,10285,1
6734,1,48,15990,6080,0
6400,31,53,5900,5900,0
3424,1,64,16790,13790,0
443,17,83,12490,12490,1
2407,5,56,28485,11881,0
1255,6,26,12000,8000,0
654,16,36,11999,9638,0
319,12,37,9990,12131,0
4384,9,28,22910,25744,0
5077,28,52,12800,6443,0
2669,17,70,6700,5300,0
6992,26,46,9990,6999,0
3768,23,41,10990,10990,0
2689,28,58,11060,10270,0
2516,8,50,13485,10385,0
6013,23,50,10900,4689,0
3662,11,71,2830,2830,0
6218,11,41,6390,4000,0
4228,31,48,28390,14390,0
3752,27,55,17550,7350,0
1041,32,57,5254,5547,0
2883,9,40,11990,10990,0
783,11,61,14590,24245,0
7322,7,35,30500,25800,0
5740,18,54,5971,6138,0
1580,3,41,5600,1501,0
3018,1,28,15200,11785,0
584,10,31,23367,25497,1
506,19,60,7350,7500,0
3102,11,46,4084,4342,0
88,39,63,15990,13142,0
1928,5,29,9500,4827,0
2664,11,58,22080,21643,0
3852,5,23,22559,19184,0
3583,18,73,3659,3659,0
5532,20,53,11650,11650,0
1730,18,51,25700,19800,0
1033,19,49,9000,9650,0
6223,15,50,27590,22906,0
4125,22,63,16650,15804,0
7153,3,51,23100,18568,0
414,30,54,23521,13957,0
751,22,60,10490,12019,1
3892,29,49,21900,3833,1
7207,13,67,7900,9847,1
3131,2,37,30500,28500,0
4489,0,63,6800,3800,0
2577,35,58,7207,7598,0
809,15,34,10990,10990,0
6758,1,24,8069,3440,0
180,12,59,27219,20219,0
1181,3,23,15317,11437,1
7348,16,48,11040,11967,0
2418,25,55,4140,4140,0
1223,11,49,15990,11570,0
6529,18,45,7870,9454,0
68,10,51,16900,17920,0
198,13,48,10360,10094,0
4436,10,60,11200,5200,0
436,5,46,17900,13862,0
1083,14,75,4899,4899,0
5684,34,50,31915,29407,0
2820,26,46,16990,15034,0
4128,19,38,5890,6400,0
84,17,53,9800,9800,0
5992,29,51,5300,5215,1
3858,0,39,15490,12000,0
6314,8,51,15900,12897,0
5702,16,62,9950,11553,1
5542,32,58,13500,6909,0
2447,26,58,13900,8934,0
3532,15,48,5000,4000,0
644,21,76,13150,8350,0
7316,20,47,6900,6464,0
3405,21,49,29710,21710,0
7389,3,68,14790,6790,0
2439,7,39,12800,5877,0
6050,11,72,10490,10490,0
4998,13,75,9850,9068,0
5162,14,59,11290,11359,0
4538,14,52,13100,12992,0
1432,2,47,12110,8710,0
5321,25,51,3608,3608,0
4371,25,49,14623,14623,0
1831,9,41,36159,11159,0
6382,24,45,7990,9447,0
3407,22,45,20970,10785,0
2550,16,58,6000,6854,1
6301,14,55,23719,22720,0
4526,20,53,12300,10300,0
3276,28,51,14900,10000,0
533,8,30,22650,12650,0
1357,15,66,5901,5901,0
5333,9,39,9510,3769,0
3346,25,42,11490,6640,0
4684,12,69,22126,12193,0
4733,13,49,5924,6368,0
2132,7,29,17290,11928,0
2146,29,57,4990,4249,0
2798,0,32,9990,5990,0
4480,11,50,9700,5037,0
461,18,55,9331,10336,0
3641,1,55,18100,6100,0
4343,25,51,23600,14645,0
1539,21,50,4750,4750,0
7223,17,62,12500,9125,0
2602,27,52,9990,5990,0
5480,14,30,20850,25599,0
2885,19,46,22702,16951,0
1451,26,56,8500,8891,0
5613,36,60,10379,8984,0
1723,12,55,3696,3865,1
7199,8,35,9900,6050,0
1847,16,35,5800,6255,0
6133,7,60,5360,1948,0
838,15,36,8048,8048,0
5339,11,52,19249,22019,0
1222,10,39,16400,13400,0
5291,15,77,9259,3259,0
1277,30,56,11050,11050,0
6076,25,49,14990,16300,0
7060,2,58,19680,12825,0
3615,35,52,12000,13078,0
1212,2,27,30061,25061,0
1718,3,37,19400,16490,0
4504,16,38,5500,3500,0
2207,28,51,12000,12144,0
3907,2,26,10700,6147,0
1199,28,49,28000,18000,0
3098,7,54,18760,15760,0
2266,18,49,14600,7086,0
5839,1,32,12234,6635,0
1954,20,43,17000,17000,0
2851,10,48,5895,5319,0
1659,12,41,21300,16066,0
2299,10,72,8990,7490,1
485,17,62,5890,6567,0
2688,5,31,16190,13390,0
1587,9,75,19990,9990,0
2934,29,57,4940,5171,0
287,12,34,17500,17500,0
6600,5,67,12990,9024,0
5823,15,45,16900,4400,0
3237,1,64,26500,20100,0
3164,23,54,7039,4792,0
6004,39,60,20666,21147,0
1366,31,58,30685,24929,0
2570,17,54,9900,8008,0
2552,10,49,23448,24247,0
1672,23,57,13500,13500,0
4877,15,58,11950,9795,0
2232,25,56,8375,9174,0
3167,16,47,25000,25000,0
134,19,56,19160,15538,0
5681,34,51,9460,2009,0
4630,3,45,11290,2290,0
1292,18,51,11490,12595,0
2100,19,62,14490,12105,0
1480,26,56,9000,9739,0
5013,28,82,6780,5280,1
41,21,40,6752,6752,0
4041,9,33,24885,22535,0
430,11,73,14990,14500,0
3032,18,45,9276,9276,1
4290,28,58,15069,11184,0
5395,34,51,14990,4490,0
970,23,40,13970,13970,0
2815,30,55,15350,12350,0
1551,7,36,22739,20339,1
3656,26,55,18402,3500,0
706,11,76,6900,7407,1
4567,19,43,12282,14016,1
1334,1,26,7400,2157,1
1056,26,50,12850,9750,0
1444,23,45,8990,9936,0
5461,33,54,12430,14009,0
5189,28,47,9380,9380,0
4004,36,58,17165,6855,0
1078,35,52,19025,9806,0
6612,10,41,13980,16044,0
1201,18,39,14300,5800,0
1720,14,54,24136,23136,0
5784,25,46,18650,14650,0
348,24,52,5990,3490,0
1918,0,24,8800,1800,1
211,24,43,23000,9000,0
4692,19,57,19990,15781,0
4506,14,73,9750,10114,0
1535,22,47,11318,11318,0
511,12,76,6711,7149,1
701,30,50,9990,4990,0
298,24,47,15030,15158,0
7271,13,60,8500,8500,0
1589,11,42,6390,6413,0
231,1,41,23860,20990,0
3666,6,28,8600,5370,0
5132,17,70,10500,10932,0
3477,15,56,10650,8531,0
2166,9,52,20204,3285,0
736,5,67,14488,11627,0
2445,12,54,9990,11686,1
276,15,53,7000,6471,0
5349,17,76,8173,8173,0
6929,20,41,13990,16557,0
4367,15,42,4529,4864,0
1096,50,70,15990,12990,0
2676,4,66,10940,5158,1
4554,17,36,13849,10849,0
3544,22,42,14665,16068,0
2477,0,37,14700,11200,0
6907,11,76,18200,14800,0
611,14,72,9540,7654,0
1817,5,51,15040,10500,0
1610,13,51,13990,4690,0
1192,16,43,10740,10740,0
803,30,56,10403,10889,0
6178,11,43,13990,13990,0
3929,12,47,13500,9800,0
1533,12,51,21200,10722,0
2868,10,49,9950,9950,0
4152,4,37,18900,15628,0
5957,29,61,12844,14020,0
5799,0,44,30850,20980,0
6200,0,38,19480,13619,0
5418,24,60,16500,13500,0
6567,5,57,10850,7537,1
1793,14,36,29493,25993,0
321,26,46,15300,17384,0
7070,12,39,23980,23980,0
2651,12,34,8500,9426,0
2789,7,70,19377,16377,0
4080,35,55,23723,12548,0
6589,30,53,9900,8400,0
5171,8,55,11395,8879,0
5455,6,49,16250,10380,0
2972,15,49,11790,12564,0
1519,15,46,15284,5404,0
7302,8,45,11090,9090,0
415,17,48,8000,3273,0
6062,26,54,13300,14149,0
3667,17,67,18500,18500,0
397,16,52,17849,8446,0
5277,14,49,16500,14821,0
4251,9,31,10150,6168,0
4085,33,49,19630,13532,0
4722,12,40,8990,9828,1
5804,16,77,5350,5350,0
599,14,52,14200,13945,0
1023,0,42,12290,8790,0
5628,9,70,21300,18300,1
3592,10,68,9990,10482,0
4668,15,47,10800,9634,0
4217,6,28,22368,19483,0
4303,9,55,4775,2575,0
355,24,60,13040,16481,0
3210,1,47,10490,6490,0
2765,20,43,10990,5990,0
2609,8,51,24740,16740,0
6658,15,49,4490,4879,0
6058,10,44,15990,15990,0
4284,8,52,24711,28946,1
621,19,46,10450,10237,0
5282,20,39,8395,5818,0
5967,13,68,6170,3859,0
59,28,48,29139,9139,0
5921,11,74,18740,18838,1
2323,16,44,10580,9580,0
3425,22,61,5500,2791,0
4264,16,55,3032,3032,1
3450,2,30,24500,14500,0
2700,2,57,27280,18900,0
7201,4,33,18390,11146,0
3043,19,58,6437,6635,0
996,37,57,15790,14590,1
3434,1,53,7748,1544,0
1340,21,38,23580,13580,0
3680,20,46,4810,2391,0
2787,13,47,6715,6991,0
937,4,50,15800,12000,0
3001,8,50,11390,9390,0
1767,26,48,8470,2470,0
5243,42,60,9990,11641,0
7067,5,41,9100,4415,0
4861,16,56,10418,10418,0
5623,19,39,22930,22930,0
6026,14,75,8300,5300,0
5281,37,57,13490,11990,0
192,36,56,21400,15925,0
62,4,23,19890,16747,0
1426,4,59,28180,19458,0
2641,5,31,8700,4995,0
3306,23,50,21260,21900,0
4917,10,70,11985,2134,0
4017,38,63,6200,5565,0
4525,20,80,6862,6862,0
4450,11,50,6500,6128,0
3107,45,65,7186,7769,0
7200,14,38,14950,16950,0
2373,26,43,7200,6208,0
2781,1,44,10840,5719,0
3431,21,47,10500,3200,0
5356,13,42,20289,20289,0
4774,0,49,12990,10076,0
5746,23,46,6968,7503,0
4726,23,49,21989,21989,0
1111,6,47,17300,13300,0
469,18,77,7299,7299,1
1538,17,48,22300,21300,0
1575,5,70,20830,14184,0
5522,16,58,6000,6722,1
2633,2,25,34500,29207,1
1129,2,66,18198,10798,0
6952,25,59,13700,11461,0
3484,10,74,7990,4990,0
1671,3,35,11940,5435,0
972,8,57,11800,5800,0
1163,38,55,18939,17066,0
4500,25,58,15617,17055,0
5151,0,56,9190,4834,0
4329,37,54,11485,13358,0
3153,3,52,16400,12911,0
3395,19,44,8490,5912,1
1777,12,72,7450,5603,0
5380,18,51,13049,13853,0
2997,5,57,13309,5294,0
58,15,56,11801,12500,0
2398,17,82,13995,10695,0
2094,6,44,12300,6984,0
1429,18,49,20990,19757,0
0,34,55,4875,3087,0
676,5,39,19300,8500,0
3649,29,58,6680,6992,0
1337,11,48,19479,18979,0
3245,10,42,14525,14536,0
6001,12,78,11155,11284,0
1669,23,54,17990,10990,0
3168,29,56,20000,19712,0
2670,3,66,10990,3990,0
3932,16,48,10800,10800,0
418,0,60,6415,2000,0
3655,17,54,18889,18889,1
6274,22,62,9790,5480,0
4240,5,34,20980,15780,0
1391,35,69,7838,7838,0
2103,6,47,15900,13300,0
6216,15,48,6850,4684,0
7180,3,27,6490,1539,0
3570,13,37,9950,10872,0
4951,19,49,13730,12494,0
3693,13,38,10990,6057,0
