,Benchmark,ID,Job tenure,Age,Car price,Funding amount
438,0.22807469763028607,0.01073311213046489,0.03007755834871372,0.068019034089519,0.26443139363645707,-0.0129647138302921
2221,0.25359425607641994,0.04149161468696758,-0.012911371109696543,0.07248713421816712,0.11060588962020804,0.11721159788420166
4127,1.0649730693111574,0.10279621853248708,0.08077806445015576,0.4141745895672277,-0.12291908827118171,0.906271282873212
624,0.24118037789708396,0.06220961945277419,0.04681108187392042,0.07031439405060436,0.1652356089131506,-0.05737594323025023
3132,0.23543550346909417,0.04799548558425236,0.022668783054484613,0.08444505067965075,0.23680497656687552,-0.010161313891991612
179,1.0731100391549253,-0.09550891965077239,0.3007006416390081,0.38570266135726444,-0.12765710972520794,0.9572216507402379
4032,0.2394150432185507,0.02333779300580571,0.04608653279836718,0.0695252422104963,0.06566832614692314,0.06390984091142636
6534,0.24838612208756858,0.04107369676529252,0.08694700116948752,0.047361329639371695,0.17552968706419472,0.017829702705924794
4336,0.2241244089728035,0.047198555973039166,0.04436964021907542,0.07663766287862113,0.22957992070593647,0.013343280678587564
6699,0.24660100309476027,0.0698988393480319,0.004625657336344009,0.034947735880405416,0.15819096397875812,0.06260890617208333
2899,0.23425648678621305,0.03591307265525304,0.09602710409351797,0.04105821420484859,0.09615882923122988,0.0784427556602712
6459,0.24473759259926506,-0.022042335374264893,-0.01962774405881158,0.05718171789792058,0.19803731247717415,0.04752667851946159
1277,0.2887593533431819,0.017780919608068334,0.15046683447190426,0.04755362269255294,0.010123829066638623,0.1145583805198682
2603,0.24889394673381965,0.00772732332796421,0.023031929898135788,0.056802949480937066,0.22568757720775828,0.05928577179733219
1656,0.26113196137621403,0.06913866474450778,0.03900555684559509,0.03334056964923837,0.20869615697201915,0.05039449007959554
4328,0.2425657519841029,0.02699198309892438,0.013351628402535004,0.060608802635284086,0.10564620168968508,0.17430402432859002
5245,0.27015534023015164,0.08832593604050376,-0.01624205388428709,0.07364256416723725,0.14899851431365677,-0.12097714425156117
5921,1.1079440344120275,0.03472343858499611,0.0304197455241182,0.37418839062777365,-0.06741353217625634,0.9498446781195495
3303,1.0834203993295344,0.16316514747821778,0.28661790622791045,0.08895541767701262,0.27558847074924203,0.5634841903978353
7221,0.24813157002713063,0.06924248999552053,0.005883605815276081,0.1057187629421,0.19519399498797385,-0.04895496991649875
6122,0.24981649798286715,0.05971195751054386,0.030571575400813022,0.05842746104525245,0.12963724406059102,-0.031792768872056
