,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Loan_Status
606,3400,2500.0,173.0,360.0,1.0,1,1
389,5488,0.0,125.0,360.0,1.0,1,1
315,3399,1640.0,111.0,180.0,1.0,1,1
428,2920,16.12000084,87.0,360.0,1.0,1,1
530,1025,5500.0,216.0,360.0,1.0,1,1
79,3333,2166.0,130.0,360.0,1.0,1,1
512,3283,2035.0,148.0,360.0,1.0,1,1
520,2192,1742.0,45.0,360.0,1.0,1,1
57,3366,2200.0,135.0,360.0,1.0,1,0
188,674,5296.0,168.0,360.0,1.0,1,1
55,2708,1167.0,97.0,360.0,1.0,1,1
211,3430,1250.0,128.0,360.0,0.0,1,0
460,2083,4083.0,160.0,360.0,1.0,1,1
243,6250,1300.0,108.0,360.0,1.0,1,1
230,2491,2054.0,104.0,360.0,1.0,1,1
59,3357,2859.0,144.0,360.0,1.0,1,1
515,3466,3428.0,150.0,360.0,1.0,1,1
153,2281,0.0,113.0,360.0,1.0,1,0
419,3246,1417.0,138.0,360.0,1.0,1,1
470,3450,2079.0,162.0,360.0,1.0,1,1
558,3887,2669.0,162.0,360.0,1.0,1,1
584,2787,1917.0,146.0,360.0,0.0,1,0
218,5000,0.0,72.0,360.0,0.0,1,0
400,2889,0.0,45.0,180.0,0.0,1,0
24,3717,2925.0,151.0,360.0,1.0,1,0
18,4887,0.0,133.0,360.0,1.0,1,0
448,3340,1710.0,150.0,360.0,0.0,1,0
87,2500,2118.0,104.0,360.0,1.0,1,1
445,3466,1210.0,130.0,360.0,1.0,1,1
387,3010,3136.0,128.0,360.0,0.0,1,0
215,3850,983.0,100.0,360.0,1.0,1,1
589,2726,0.0,106.0,360.0,0.0,1,0
186,2178,0.0,66.0,300.0,0.0,1,0
552,3333,3250.0,158.0,360.0,1.0,1,1
583,1880,0.0,61.0,360.0,1.0,1,0
479,2947,1603.0,128.0,360.0,1.0,1,0
317,2058,2134.0,88.0,360.0,1.0,1,1
340,2647,1587.0,173.0,360.0,1.0,1,0
345,2499,2458.0,160.0,360.0,1.0,1,1
437,2213,1125.0,128.0,360.0,1.0,1,1
377,4310,0.0,130.0,360.0,1.0,1,1
610,4106,0.0,40.0,180.0,1.0,1,1
554,3593,4266.0,132.0,180.0,0.0,1,0
347,3083,2168.0,126.0,360.0,1.0,1,1
450,2309,1255.0,125.0,360.0,0.0,1,0
358,3000,1666.0,100.0,480.0,0.0,1,0
136,4583,0.0,84.0,360.0,1.0,1,0
241,2510,1983.0,140.0,180.0,1.0,1,0
174,4344,736.0,87.0,360.0,1.0,1,0
