,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Loan_Status
284,20667,0.0,128.0,360.0,1.0,1,0
556,2667,1625.0,84.0,360.0,1.0,0,1
127,3865,1640.0,128.0,360.0,1.0,0,1
606,3400,2500.0,173.0,360.0,1.0,1,1
235,5500,1260.0,170.0,360.0,1.0,1,1
16,3596,0.0,100.0,240.0,1.0,0,1
8,4006,1526.0,168.0,360.0,1.0,1,1
389,5488,0.0,125.0,360.0,1.0,1,1
493,17263,0.0,225.0,360.0,1.0,0,1
428,2920,16.12000084,87.0,360.0,1.0,1,1
79,3333,2166.0,130.0,360.0,1.0,1,1
407,2213,0.0,66.0,360.0,1.0,0,1
134,4895,0.0,102.0,360.0,1.0,0,1
57,3366,2200.0,135.0,360.0,1.0,1,0
602,5703,0.0,128.0,360.0,1.0,1,1
271,11146,0.0,136.0,360.0,1.0,1,1
211,3430,1250.0,128.0,360.0,0.0,1,0
492,3691,0.0,110.0,360.0,1.0,0,1
467,16692,0.0,110.0,360.0,1.0,1,1
180,6400,7250.0,180.0,360.0,0.0,1,0
331,2935,0.0,98.0,360.0,1.0,0,1
355,3813,0.0,116.0,180.0,1.0,0,1
419,3246,1417.0,138.0,360.0,1.0,1,1
192,6033,0.0,160.0,360.0,1.0,1,0
280,4053,2426.0,158.0,360.0,0.0,0,0
324,15000,0.0,300.0,360.0,1.0,1,1
338,1830,0.0,128.0,360.0,0.0,0,0
218,5000,0.0,72.0,360.0,0.0,1,0
400,2889,0.0,45.0,180.0,0.0,1,0
229,6400,0.0,200.0,360.0,1.0,0,1
365,6216,0.0,133.0,360.0,1.0,0,0
465,6000,0.0,140.0,360.0,1.0,0,1
399,1500,1800.0,103.0,360.0,0.0,0,0
595,3833,0.0,110.0,360.0,1.0,0,1
387,3010,3136.0,128.0,360.0,0.0,1,0
51,3086,0.0,120.0,360.0,1.0,0,1
594,16120,0.0,260.0,360.0,1.0,1,1
193,3858,0.0,76.0,360.0,1.0,0,1
529,6783,0.0,130.0,360.0,1.0,0,1
339,4160,0.0,71.0,360.0,1.0,0,1
439,7142,0.0,138.0,360.0,1.0,1,1
269,2876,1560.0,90.0,360.0,1.0,0,1
568,2378,0.0,9.0,360.0,1.0,0,0
233,8333,0.0,280.0,360.0,1.0,0,1
437,2213,1125.0,128.0,360.0,1.0,1,1
532,3588,0.0,110.0,360.0,0.0,0,0
554,3593,4266.0,132.0,180.0,0.0,1,0
574,6406,0.0,150.0,360.0,1.0,1,0
104,3816,754.0,160.0,360.0,1.0,1,1
450,2309,1255.0,125.0,360.0,0.0,1,0
358,3000,1666.0,100.0,480.0,0.0,1,0
