,Benchmark,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
272,0.36922630483818253,0.052674517472001865,0.058345528883950615,0.12951481855849883,0.015921328839198046,0.1600352556436036
284,0.7051897233303234,0.35561807650661176,0.12755857400791673,0.20422095187022768,0.02100043273843071,0.09557434934915632
556,0.32433817383096303,0.06574430581382708,0.06276933627055346,0.1116896763913859,0.0207880018929896,0.1737973129494029
127,0.33199295015727737,0.10575575870042164,0.08532955099797748,-0.0361197540914035,0.00522602920587901,0.19301428036820706
201,0.22883963086704562,0.17919829150838198,0.030257128931618412,0.2093737595474658,-0.0010581354824937385,-0.0764587346719718
40,0.6296401005136271,0.26850848951782835,0.14257380987286622,0.30731828415247153,0.013416311302467888,0.07859448315299357
606,0.30966844391632764,0.09066140714792162,0.1148581886799569,-0.06536016740268627,0.004365535588288633,0.19035124578942725
235,0.3479951029184443,0.18333666085395448,0.10159453609325703,-0.030585326416376922,0.011430971040175557,0.15136564446947864
16,0.31454458941932006,0.06644308514423354,0.011093423276055045,0.13260488495030479,0.0199118887542879,0.18799261772671513
8,0.31800049125135327,0.12768486975837823,0.05096033531119871,0.02980844948041388,0.010452111995020745,0.18318603830217364
312,0.3426585185813892,0.0720440364400483,-0.015752916644161567,0.14084671414572425,0.008876630110021537,0.17797595011698308
389,0.3706219345015339,0.13520345886391502,0.0017012150112011616,0.1157181464649194,0.011828076600918013,0.15386441955609062
449,0.5966866253604006,0.2010778112566008,0.15489236086998648,0.365389520314058,-0.0011494145707035806,0.06355714419213163
315,0.328611546207205,0.03171228959996039,0.09065382511623281,0.10259410506949111,-7.769573108402467e-06,0.18102949951517872
493,0.32195426732818394,0.17582870802608708,0.028056089244853193,0.015216869682932966,0.009671725355342909,0.18016024503411757
428,0.3246134546286934,0.11173238225185181,-0.017643441322897836,0.09706187430824013,0.00902717228690807,0.1844136308533286
530,0.3011374655030952,-0.06320003853708248,0.16859740558414757,0.057407821784639955,0.004044062803013436,0.17893093781855254
79,0.3482924385871504,0.13900730789971635,-0.0016693597614558483,0.0915305544624571,0.015872005445774346,0.16889763260571558
407,0.32199796555067717,0.11680264491271951,-0.03123880109807108,0.05104952465215893,0.003884331096553717,0.18806361554994871
512,0.37627110644722356,0.09844003582791302,0.06850620151250547,0.07961280627121374,0.014635866364199982,0.15366460756904315
520,0.36082973896806336,0.07276363286805931,0.07474720488267837,0.10844384345456874,0.01619803280838887,0.15470388174302496
134,0.33684755518861714,0.07397740093740722,0.005936141396371355,0.09362742828630438,0.004661154449254161,0.19110604642110968
359,0.317259318986736,0.047433993993530696,0.15477686214698264,-0.004273292001347658,0.011212244161353505,0.19299150748150956
57,0.6285215263256708,0.26866899818159873,0.1883316122389315,0.23179382725099018,-0.005954332914097725,0.06176448934293202
155,0.21532814818815685,0.13843769102433207,0.05805757242956808,0.12711975387707064,0.12269342807711542,-0.05775723824147448
232,0.3772899128864744,0.10766158140069247,0.03744717226118802,0.11232099439390483,0.0158920455860681,0.15203050559452133
