,ID,Job tenure,Age,Car price,Default (y)
5218,5219,6,42,9990,0
5781,5782,6,53,6000,0
6333,6334,20,63,7000,0
233,234,0,27,3546,1
1832,1833,2,30,14700,1
2406,2407,1,32,7650,0
7113,7114,7,43,11990,0
2018,2019,1,26,11800,0
6725,6726,27,58,7067,0
6133,6134,7,60,5360,0
3307,3308,0,37,5400,0
6648,6649,1,37,16810,0
4326,4327,2,40,23780,1
6977,6978,2,68,8950,0
5610,5611,5,50,6200,0
5553,5554,2,37,23660,1
5061,5062,13,39,4600,0
6533,6534,6,49,5900,0
4584,4585,0,46,12500,0
3668,3669,0,25,21495,0
1632,1633,5,36,6900,0
4091,4092,5,29,5500,0
6153,6154,1,25,10100,0
5364,5365,8,39,5591,0
6808,6809,21,54,10989,0
2899,2900,7,25,12490,0
5368,5369,1,28,14990,0
2348,2349,1,18,17964,1
7060,7061,2,58,19680,0
4559,4560,1,44,13000,1
6538,6539,1,28,2950,0
7247,7248,5,62,5200,0
7380,7381,24,62,9000,0
6086,6087,7,32,15319,0
6081,6082,3,64,15115,0
6049,6050,8,45,8104,0
5598,5599,1,28,7500,0
5261,5262,5,36,13259,0
5700,5701,1,26,5990,0
2318,2319,3,20,8450,1
5901,5902,5,23,10450,0
5455,5456,6,49,16250,0
7104,7105,17,48,17000,0
7403,7404,10,41,29000,0
3698,3699,5,24,19100,0
3686,3687,2,20,27500,1
7347,7348,1,35,21400,0
7110,7111,2,26,12990,0
2519,2520,0,25,8000,1
5375,5376,11,54,9521,0
3790,3791,5,57,2500,0
6012,6013,3,26,7650,0
7201,7202,4,33,18390,0
6605,6606,8,27,15899,0
6116,6117,2,29,22850,1
6888,6889,3,50,10000,0
5360,5361,4,31,12537,0
3948,3949,0,57,7300,1
3787,3788,4,39,16700,0
4384,4385,9,28,22910,0
3095,3096,5,38,14495,0
3047,3048,1,30,7990,1
5968,5969,0,26,9900,1
4121,4122,3,23,23000,1
4708,4709,5,27,15150,0
4467,4468,5,36,8154,0
2436,2437,7,28,11990,0
3320,3321,3,41,9000,1
3570,3571,13,37,9950,0
7191,7192,20,48,22250,0
3954,3955,2,30,9246,0
6075,6076,11,41,13990,0
4825,4826,1,51,6300,0
5584,5585,0,20,11313,0
3362,3363,2,18,7770,1
6804,6805,4,34,12790,0
2138,2139,10,26,12000,0
6209,6210,6,55,10680,0
5643,5644,1,19,21950,1
5477,5478,3,19,18990,1
3007,3008,16,33,7990,0
6721,6722,12,57,5364,0
5738,5739,1,42,18485,0
828,829,3,21,8299,0
800,801,1,30,9590,1
7261,7262,0,63,17150,0
3908,3909,0,22,10333,1
4808,4809,0,43,7600,0
7155,7156,24,53,6019,0
3470,3471,2,40,13980,0
3050,3051,16,37,7430,0
1543,1544,2,36,8500,0
3903,3904,3,27,9500,1
6903,6904,0,40,13000,0
6658,6659,15,49,4490,0
6289,6290,1,34,4900,0
4094,4095,0,27,13550,0
7241,7242,5,44,5489,0
6147,6148,0,25,10990,0
7014,7015,3,67,12000,0
4395,4396,5,59,9500,1
6257,6258,0,44,11750,0
1839,1840,1,21,21690,1
1507,1508,2,22,7990,0
5783,5784,11,55,9990,0
4063,4064,9,40,16085,0
5096,5097,4,45,8990,0
509,510,0,21,13590,1
6268,6269,15,62,4000,0
6881,6882,1,31,19286,0
5746,5747,23,46,6968,0
5071,5072,3,46,7800,0
6758,6759,1,24,8069,0
5184,5185,4,36,9335,1
4625,4626,7,45,8995,0
2333,2334,1,21,4900,0
5141,5142,0,52,12129,0
4626,4627,5,48,9400,0
6077,6078,4,58,11504,0
5905,5906,1,35,13730,1
6286,6287,2,20,10880,0
6000,6001,5,31,21895,1
7079,7080,7,29,5990,0
2728,2729,0,29,10980,1
6534,6535,19,47,19000,0
5537,5538,0,26,19886,0
3980,3981,1,32,6598,0
2862,2863,1,47,10795,0
7227,7228,32,62,3629,0
1945,1946,2,20,7990,0
3154,3155,2,35,5990,0
4905,4906,2,33,19625,1
2540,2541,2,45,6250,0
4486,4487,15,37,14440,0
5857,5858,18,36,14550,1
5743,5744,4,40,8440,0
7006,7007,0,19,19900,1
6579,6580,8,49,6155,0
856,857,4,21,9985,0
7284,7285,2,20,16877,1
4819,4820,0,20,7000,0
3612,3613,6,47,5359,0
6045,6046,14,32,21657,0
4705,4706,0,22,8900,1
842,843,0,28,9500,1
6162,6163,1,24,7900,1
7129,7130,22,65,9596,0
6430,6431,11,28,8910,0
4367,4368,15,42,4529,0
1328,1329,0,18,10990,1
2585,2586,0,24,3600,1
1087,1088,2,26,10360,0
1871,1872,0,26,11700,0
6980,6981,7,44,19400,1
3381,3382,1,23,19990,1
6098,6099,1,43,15890,1
5885,5886,1,46,11250,0
1512,1513,0,25,16750,0
4922,4923,11,35,14689,0
2855,2856,7,29,4780,0
4772,4773,0,53,7800,0
2929,2930,2,21,27000,1
4416,4417,8,50,11990,0
6840,6841,15,38,12485,0
3528,3529,14,32,6390,0
6525,6526,1,34,17809,0
3979,3980,1,24,14050,1
6110,6111,3,38,12990,0
6314,6315,8,51,15900,0
3437,3438,4,26,8726,0
4381,4382,0,30,20950,0
5842,5843,3,45,12901,0
5219,5220,3,37,10575,0
5812,5813,1,21,21990,0
4994,4995,6,32,8500,0
3651,3652,0,26,14790,1
543,544,2,20,5990,1
7167,7168,6,34,7190,0
6768,6769,1,33,5490,1
4987,4988,0,25,11550,0
4489,4490,0,63,6800,0
6704,6705,3,26,13430,0
