,ID,Job tenure,Age,Car price,Default (y)
5218,5219,6,42,9990,0
233,234,0,27,3546,1
2208,2209,29,56,4785,0
1188,1189,7,50,13500,0
2858,2859,5,49,15700,0
435,436,31,47,11400,0
3049,3050,20,36,24990,0
3017,3018,11,54,13189,0
1575,1576,5,70,20830,0
5061,5062,13,39,4600,0
970,971,23,40,13970,0
6533,6534,6,49,5900,0
1025,1026,6,71,11990,0
748,749,0,57,12990,1
2521,2522,7,43,10700,0
683,684,11,45,27500,0
491,492,10,31,21593,0
2245,2246,8,28,24900,0
2302,2303,9,38,19880,0
4482,4483,11,48,14380,0
5364,5365,8,39,5591,0
1539,1540,21,50,4750,0
4475,4476,18,55,13000,0
2348,2349,1,18,17964,1
1811,1812,6,70,7930,0
1320,1321,20,58,7641,0
3936,3937,19,40,13490,0
7247,7248,5,62,5200,0
6086,6087,7,32,15319,0
3484,3485,10,74,7990,0
1992,1993,25,54,20450,0
1817,1818,5,51,15040,0
2829,2830,12,58,19199,0
1652,1653,15,60,5865,0
2439,2440,7,39,12800,0
1775,1776,26,51,17000,0
468,469,15,49,26290,0
1616,1617,8,67,8590,0
1803,1804,3,67,12705,0
4690,4691,24,55,7500,0
3221,3222,19,78,13950,0
2318,2319,3,20,8450,1
2173,2174,13,49,4700,0
1608,1609,20,53,13785,0
5455,5456,6,49,16250,0
2678,2679,17,60,11900,0
4401,4402,15,53,8938,0
1893,1894,20,66,13385,0
3698,3699,5,24,19100,0
4577,4578,20,49,11490,0
2868,2869,10,49,9950,0
4717,4718,15,38,20790,0
3686,3687,2,20,27500,1
535,536,20,40,26000,0
2519,2520,0,25,8000,1
5375,5376,11,54,9521,0
3790,3791,5,57,2500,0
2778,2779,26,47,16490,0
3721,3722,0,56,13300,1
2132,2133,7,29,17290,0
3688,3689,6,51,10205,0
4664,4665,18,56,7449,0
1858,1859,22,46,23390,0
763,764,15,49,15000,0
5094,5095,27,49,16500,0
3332,3333,16,54,7700,0
1383,1384,10,59,6795,0
247,248,9,38,8950,0
2189,2190,5,34,13580,0
4384,4385,9,28,22910,0
6784,6785,32,59,13900,0
5968,5969,0,26,9900,1
4121,4122,3,23,23000,1
4766,4767,30,51,15901,0
4708,4709,5,27,15150,0
5049,5050,36,52,4322,0
4467,4468,5,36,8154,0
1533,1534,12,51,21200,0
2827,2828,15,57,8900,0
2890,2891,26,45,15990,0
2436,2437,7,28,11990,0
2952,2953,2,67,8980,0
3570,3571,13,37,9950,0
7191,7192,20,48,22250,0
3954,3955,2,30,9246,0
6075,6076,11,41,13990,0
445,446,28,52,16790,0
7114,7115,32,48,21300,0
957,958,20,53,26980,0
6076,6077,25,49,14990,0
3362,3363,2,18,7770,1
2206,2207,4,29,22750,0
2138,2139,10,26,12000,0
6209,6210,6,55,10680,0
5643,5644,1,19,21950,1
2684,2685,29,52,10744,0
5477,5478,3,19,18990,1
3007,3008,16,33,7990,0
6721,6722,12,57,5364,0
927,928,8,52,17945,0
2291,2292,30,56,12700,0
1038,1039,3,41,7890,0
3908,3909,0,22,10333,1
7155,7156,24,53,6019,0
1374,1375,22,55,3990,0
5014,5015,34,51,3075,0
157,158,15,57,26790,0
5703,5704,15,71,19400,0
3050,3051,16,37,7430,0
1543,1544,2,36,8500,0
6658,6659,15,49,4490,0
378,379,0,56,5648,0
457,458,0,63,19615,0
1839,1840,1,21,21690,1
2586,2587,22,77,11800,0
4500,4501,25,58,15617,0
2088,2089,7,72,9400,0
5783,5784,11,55,9990,0
611,612,14,72,9540,0
2225,2226,18,51,16365,0
321,322,26,46,15300,0
5096,5097,4,45,8990,0
1242,1243,10,70,11990,0
2199,2200,28,51,16000,0
509,510,0,21,13590,1
1215,1216,34,57,6700,0
5318,5319,44,64,11884,0
3206,3207,4,57,9000,0
6900,6901,33,55,6990,0
2091,2092,26,47,7690,0
3250,3251,22,54,8203,0
1783,1784,5,58,20660,0
4625,4626,7,45,8995,0
2481,2482,23,51,10980,0
3767,3768,12,61,5290,0
1730,1731,18,51,25700,0
4890,4891,44,61,3490,0
576,577,6,28,9450,0
4626,4627,5,48,9400,0
3813,3814,21,77,5800,0
1199,1200,28,49,28000,0
486,487,11,57,15800,0
2094,2095,6,44,12300,0
7079,7080,7,29,5990,0
994,995,4,62,9300,0
6534,6535,19,47,19000,0
58,59,15,56,11801,0
319,320,12,37,9990,0
1755,1756,27,51,6040,0
7227,7228,32,62,3629,0
5516,5517,25,46,13500,0
5162,5163,14,59,11290,0
4486,4487,15,37,14440,0
7006,7007,0,19,19900,1
2036,2037,7,47,14800,0
6579,6580,8,49,6155,0
856,857,4,21,9985,0
3626,3627,7,49,16388,0
7284,7285,2,20,16877,1
3386,3387,1,31,29990,1
