,Job tenure,Age,Car price,Default (y)
2644,24,61,9243,1
5736,3,30,15945,0
755,1,26,8900,0
6734,1,48,15990,0
3197,4,62,4990,0
7253,2,40,13980,0
6356,0,25,13900,0
3424,1,64,16790,0
44,1,47,16500,0
443,17,83,12490,1
2407,5,56,28485,0
6110,3,38,12990,0
6145,0,47,8850,0
1701,1,52,9990,0
4245,2,67,3300,0
6165,5,71,11054,0
915,2,50,5700,0
1562,5,51,11149,0
6766,4,58,10350,0
6426,2,67,16339,0
5768,3,43,6887,0
921,2,41,14990,0
1942,0,22,9500,0
7268,2,26,9283,0
6105,1,46,5382,0
3837,6,56,12200,1
4309,4,46,16000,0
1580,3,41,5600,0
3018,1,28,15200,0
584,10,31,23367,1
4522,5,26,5550,0
1928,5,29,9500,0
4231,1,31,7290,0
5019,3,22,23700,0
3852,5,23,22559,0
6695,0,57,10990,0
6380,2,41,13290,0
2840,1,27,17048,0
5751,1,30,12500,0
7153,3,51,23100,0
751,22,60,10490,1
6499,2,32,3500,0
4840,0,36,7990,0
3892,29,49,21900,1
7207,13,67,7900,1
6798,5,24,14490,0
3131,2,37,30500,0
4489,0,63,6800,0
6758,1,24,8069,0
2177,7,32,19968,1
4032,4,66,12990,0
436,5,46,17900,0
325,7,49,7980,1
5351,0,20,8500,0
108,4,51,7680,0
5992,29,51,5300,1
4767,5,43,19999,0
3858,0,39,15490,0
3016,3,34,14400,0
6599,0,30,9589,0
5702,16,62,9950,1
4374,0,61,21800,0
6340,0,28,6880,0
7389,3,68,14790,0
2915,6,26,5670,1
5368,1,28,14990,0
3661,2,45,7900,0
156,5,40,20849,0
744,4,54,7495,0
1268,1,25,18500,0
1432,2,47,12110,0
3207,5,52,5825,0
5090,4,47,15920,0
2550,16,58,6000,1
1024,4,26,20990,0
7213,3,40,9180,0
7274,1,26,9950,0
2333,1,21,4900,0
7212,5,38,8950,0
2798,0,32,9990,0
2226,2,34,15840,0
3641,1,55,18100,0
2927,4,30,22450,0
4192,3,36,5990,0
1723,12,55,3696,1
2825,6,36,29000,1
1526,0,63,5698,0
